,Assembly Code,Assembly Description,Type Comments,OmniClass Number,OmniClass Title,Acoustic Designation,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Material Frame,DOOR_Material Panel,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Minimum_Clear_Width,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Frame Thickness,Head Height,Height,Ironmongery Set,Keynote,Level,Main Panel Width,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Mark,Width,DOOR_Louvred,Host Partition Thickness,DOOR_Type,Glass Thickness,Heat Transfer Coefficient (U),Solar Heat Gain Coefficient,Thermal Resistance (R),Visual Light Transmittance,Manufacturer,Frame Material,Model,Appear In Schedule,Frame Depth,Frame Head Depth,Panel Glazing Material,Panel Height,Panel Width,Rail Bottom,Rail Head,Stile Left,Stile Right,URL,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Finish,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,NominalLength,DOOR_DoubleSwing,DOOR_KickPlate,NominalWidth,DOOR_Vision Panel,NominalHeight,DOOR_GlazingThickness,DOOR_KickPlateHeight,DOOR_PanelHeight,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,DOOR_VisionPanelOffset,DOOR_VisionPanelWidth
IfcText('ED-20-001'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Emergency push bars.'),IfcText(''),IfcLengthMeasure(2053.),IfcLengthMeasure(38.),IfcLengthMeasure(900.),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('No'),IfcText('DT-XX-X-31103'),IfcText('Stair 03 final exit'),IfcText('1500'),IfcText('Monitored contact 24hr.'),IfcText('EDT 2b OP'),"IfcText('Hinged, steel, leaf and a half doorset, with overpanel')",IfcLabel('EDT 2b OP - Double Unequal Door_with over panel: EDT 2b OP_1710w x 2535h'),IfcLabel('EDT 2b OP - Double Unequal Door_with over panel: EDT 2b OP_1710w x 2535h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(2535.),IfcText('E4c'),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('ED-20-001'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2535.),IfcLengthMeasure(1710.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(375.000000000956),IfcLabel('EDT 2b OP - Double Unequal Door_with over panel: EDT 2b OP_1710w x 2535h'),IfcText('EDT 11gg'),IfcLengthMeasure(1710.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-502'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('IPU Plant room to roof (east)'),,IfcText(''),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3160.),IfcLengthMeasure(2420.),,IfcText('L20/481'),IfcLabel('Level: Level 5'),,IfcText('ED-20-502'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2420.),IfcLengthMeasure(1810.),IfcLengthMeasure(740.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcText('EDT 11kk'),IfcLengthMeasure(1810.),IfcBoolean(.F.),IfcLengthMeasure(139.999999999968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-201'),IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),,,,,IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('IPU to CAU roof'),,IfcText(''),IfcText('EDT 7a'),"IfcText('Hinged, aluminium framed glazed, single door in curtain walling')",IfcLabel('EDT 7a - Single CW Door Hinged Manual: EDT 7a_Door Hinged Manual - Single'),IfcLabel('EDT 7a - Single CW Door Hinged Manual: EDT 7a_Door Hinged Manual - Single'),IfcText('N/A'),,,IfcLengthMeasure(2060.),IfcText('E5c'),IfcText('H11/136A'),IfcLabel('Level: Level 2'),,IfcText('ED-20-201'),,IfcLabel('New Construction'),,,,,,,,IfcLabel('EDT 7a - Single CW Door Hinged Manual: EDT 7a_Door Hinged Manual - Single'),IfcText(''),IfcLengthMeasure(1124.99999999974),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-504'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('IPU Plant room to roof (east)'),,IfcText(''),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3160.),IfcLengthMeasure(2420.),,IfcText('L20/481'),IfcLabel('Level: Level 5'),,IfcText('ED-20-504'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2420.),IfcLengthMeasure(1810.),IfcLengthMeasure(740.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcText('EDT 11kk'),IfcLengthMeasure(1810.),IfcBoolean(.F.),IfcLengthMeasure(139.999999999968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-004'),IfcText(''),IfcText(''),,IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Door located within curtain walling.'),,,,,IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('No'),,IfcText('Courtyard 02'),,,IfcText('EDT 8a'),"IfcText('Hinged, aluminium-framed glazed, double door in curtain walling')",IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcText('N/A'),,,IfcLengthMeasure(2060.),,IfcText('H11/136A'),IfcLabel('Level: Level 0'),,IfcText('ED-20-004'),,IfcLabel('New Construction'),,,,,,,,IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcText('EDT 11pp'),IfcLengthMeasure(1900.00000000005),,,IfcText(''),IfcLengthMeasure(12.),IfcReal(3.6886),IfcReal(0.78),IfcReal(0.271105568508377),IfcReal(0.9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-503'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1110.),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('Core C LMR to roof'),,IfcText(''),IfcText('EDT 1c TP'),"IfcText('Hinged, steel-framed louvred, single doorset')",IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2810.),IfcLengthMeasure(2110.),IfcText('E1c'),IfcText('L20/482'),IfcLabel('Level: Level 5'),,IfcText('ED-20-503'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(700.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1c TP - External Single Door (Louvred Top Panel): EDT 1c_1210w x 2110h'),IfcText('EDT 14j'),IfcLengthMeasure(1210.),,IfcLengthMeasure(149.999999999992),,,,,,,IfcText(''),IfcText('Agate Grey (RAL 7038)'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-501'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('IPU Plant room to roof (east)'),,IfcText(''),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3160.),IfcLengthMeasure(2420.),IfcText('E1c'),IfcText('L20/481'),IfcLabel('Level: Level 5'),,IfcText('ED-20-501'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2420.),IfcLengthMeasure(1810.),IfcLengthMeasure(740.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2420h'),IfcText('EDT 11kk'),IfcLengthMeasure(1810.),IfcBoolean(.F.),IfcLengthMeasure(139.999999999968),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-506'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(2474.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('IPU Plant room to roof (west)'),,IfcText(''),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3160.),IfcLengthMeasure(2420.),,IfcText('L20/481'),IfcLabel('Level: Level 5'),,IfcText('ED-20-506'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2420.),IfcLengthMeasure(1060.),IfcLengthMeasure(740.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcText('EDT 11mm'),IfcLengthMeasure(1060.),,IfcLengthMeasure(149.999999999992),,,,,,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-507'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(2474.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('IPU Plant room to roof (west)'),,IfcText(''),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3160.),IfcLengthMeasure(2420.),IfcText('E5a'),IfcText('L20/481'),IfcLabel('Level: Level 5'),,IfcText('ED-20-507'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2420.),IfcLengthMeasure(1060.),IfcLengthMeasure(740.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcText('EDT 11mm'),IfcLengthMeasure(1060.),,IfcLengthMeasure(149.999999999992),,,,,,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-20-508'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('N/A'),IfcText(''),IfcText(''),IfcLengthMeasure(2474.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcLabel('Light Grey (RAL 7035)'),IfcLabel('Light Grey (RAL 7035)'),IfcBoolean(.F.),IfcText('No'),IfcText('TBC'),IfcText('IPU Plant room to roof (west)'),,IfcText(''),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(3160.),IfcLengthMeasure(2420.),,IfcText('L20/481'),IfcLabel('Level: Level 5'),,IfcText('ED-20-508'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2420.),IfcLengthMeasure(1060.),IfcLengthMeasure(740.),IfcLengthMeasure(38.),IfcLengthMeasure(260.000000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2420h'),IfcText('EDT 11mm'),IfcLengthMeasure(1060.),,IfcLengthMeasure(149.999999999992),,,,,,,IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
