,Assembly Code,Assembly Description,Blind Type,DOOR_Radiation Protection,Sill Height,Comments,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,OmniClass Number,OmniClass Title,Access Control,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Protection,DOOR_Signage,DOOR_Type,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,RevisedByType_ARUtils,RevisedType_ARUtils,Rough Height,Rough Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,DOOR_Power,Acoustic Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width
IfcText('RAD1038.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3RpCcyWfr5QPLfUUjJjdaf'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1038.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),,,,,,,
IfcText('RAD1041.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 5'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3RpCcyWfr5QPLfUUjJjddV'),IfcText('19a'),IfcText('L20/432'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1041.D2'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(114.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcText('SD/SS'),IfcText('J173'),IfcLengthMeasure(1060.),IfcText('Delayed Close'),,,,,,
IfcText('RAD1039.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 5'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3RpCcyWfr5QPLfUUjJjdcR'),IfcText('19a'),IfcText('L20/432'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1039.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(114.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined'),IfcText('SD/SS'),IfcText('J173'),IfcLengthMeasure(1060.),IfcText('Delayed Close'),,,,,,
IfcText('RAD1039.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 4'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(860.5),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 3d'),IfcLabel('IDT 3d - Equal Double Door: 1810mm - 2110mm S/O Lead Lined Laminate'),IfcLabel('IDT 3d - Equal Double Door: 1810mm - 2110mm S/O Lead Lined Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('3RpCcyWfr5QPLfUUjJjdWt'),IfcText('26b'),IfcText('L20/432'),IfcLabel('Level: Level 1'),,IfcText('RAD1039.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1810.),IfcLengthMeasure(32.),IfcLengthMeasure(179.5),IfcLabel('IDT 3d - Equal Double Door: 1810mm - 2110mm S/O Lead Lined Laminate'),IfcText('DD/SS'),IfcText('J183'),IfcLengthMeasure(1810.),IfcText('Delayed Close'),IfcText('30dB'),,,,,
IfcText('RAD1041.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 4'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(860.5),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 3d'),IfcLabel('IDT 3d - Equal Double Door: 1810mm - 2110mm S/O Lead Lined Laminate'),IfcLabel('IDT 3d - Equal Double Door: 1810mm - 2110mm S/O Lead Lined Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('3RpCcyWfr5QPLfUUjJjdWR'),IfcText('26b'),IfcText('L20/432'),IfcLabel('Level: Level 1'),,IfcText('RAD1041.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1810.),IfcLengthMeasure(32.),IfcLengthMeasure(179.5),IfcLabel('IDT 3d - Equal Double Door: 1810mm - 2110mm S/O Lead Lined Laminate'),IfcText('DD/SS'),IfcText('J183'),IfcLengthMeasure(1810.),IfcText('Delayed Close'),IfcText('30dB'),,,,,
IfcText('RAD1021.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText(''),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 12'),IfcLabel('IDT 12 - Bi-Fold Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 12 - Bi-Fold Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3koqKrvUTFiheugOc6vduE'),IfcText('49'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1021.D2'),IfcText('Bi-fold'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),,,IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 12 - Bi-Fold Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J214'),IfcLengthMeasure(1060.),IfcText(''),IfcText('30dB'),,,,,
IfcText('RAD1019.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3koqKrvUTFiheugOc6vd_e'),IfcText('18'),IfcText('L20/432'),IfcLabel('Level: Level 1'),,IfcText('RAD1019.D2'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(112.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('DUD/SS'),IfcText('J172'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
IfcText('RAD1018.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3koqKrvUTFiheugOc6vd_8'),IfcText('19a'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1018.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(124.5),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),IfcText('Delayed Close'),IfcText('30dB'),,,,,
IfcText('RAD1017.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3koqKrvUTFiheugOc6vdyS'),IfcText('19a'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('RAD1017.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(124.5),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J39'),IfcLengthMeasure(1060.),IfcText('Delayed Close'),IfcText('30dB'),,,,,
IfcText('RAD1020.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText('Code 3'),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('-'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('3koqKrvUTFiheugOc6vdpY'),IfcText('18'),IfcText('L20/432'),IfcLabel('Level: Level 1'),,IfcText('RAD1020.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcText('shaun.merchantNGQ5B'),IfcText('2018/10/01 03:00'),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(32.),IfcLengthMeasure(124.5),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Lead Lined Laminate'),IfcText('DUD/SS'),IfcText('J172'),IfcLengthMeasure(1510.),IfcText('Delayed Close'),IfcText('30dB'),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.)
