,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Access Control,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Power,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Manufacturer,Acoustic Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,NominalLength,NominalWidth,Comments,NominalHeight,DOOR_Acoustic Rating,Spec Ref
IfcText('EMD1C06.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('Laminate'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText('Half Height/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS  Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS  Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2VTXhcJYn0rh7NvGUexLDV'),IfcText('11j'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EMD1C06.D2'),IfcText('Double Door Double Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS  Laminate'),IfcText('DD/SS (GL)'),IfcText('J156'),IfcLengthMeasure(1910.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EMD1024.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0WcX27AhP668HFooxfC$Wg'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EMD1024.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EMD1056.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0WcX27AhP668HFooxfC$k6'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EMD1056.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J172'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText('30dB'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EMD1061.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1BkI87kBH14v_UyV8NbkA9'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EMD1061.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EAU1063.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),IfcText(''),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$k1IDZaj9LxkkmHvQqgTa'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EAU1063.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EAU1072.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$k1IDZaj9LxkkmHvQqgTf'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EAU1072.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EAU1068.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$k1IDZaj9LxkkmHvQqgTl'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EAU1068.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EAU1058.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$k1IDZaj9LxkkmHvQqgTk'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EAU1058.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EAU1059.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$k1IDZaj9LxkkmHvQqgTj'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EAU1059.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('EAU1067.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('Laminate'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3$k1IDZaj9LxkkmHvQqgTi'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('EAU1067.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J59'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
