,Assembly Code,Assembly Description,Access Control,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Power,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Keynote,Level,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Comments,Ironmongery Set,Manufacturer,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Acoustic Rating,Acoustic Designation
IfcText('CIR0103.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Hold Open'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O 180degree Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O 180degree Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1saDB3OhLDvQmvKCANrxnw'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('CIR0103.D1'),IfcText(''),IfcText(''),IfcText('Double Door 180° Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O 180degree Laminate'),IfcText('DD/SS (GL)'),IfcText('235'),IfcLengthMeasure(1910.),,,,,,,,,,
IfcText('CIR0115.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Hold Open'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O 180degree Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O 180degree Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1saDB3OhLDvQmvKCANrxny'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('CIR0115.D1'),IfcText(''),IfcText(''),IfcText('Double Door 180° Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O 180degree Laminate'),IfcText('DD/SS (GL)'),IfcText('235'),IfcLengthMeasure(1910.),,,,,,,,,,
IfcText('CIR0104.D1'),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1saDB3OhLDvQmvKCANrxnX'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('CIR0104.D1'),IfcText(''),IfcText(''),IfcText('Double Door Double Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(122.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O DS Laminate'),IfcText('DD/SS (GL)'),IfcText('J137'),IfcLengthMeasure(1910.),IfcText(''),IfcText('11b*'),,,,,,,,
IfcText('MOR0C02.D2'),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(926.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1saDB3OhLDvQmvKCANrxna'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('MOR0C02.D2'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1010.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1010mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J139'),IfcLengthMeasure(1010.),IfcText('Reduced jamb architraves to one side'),,IfcText('Revit'),,,,,,,
IfcText('CIR0108.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2310.),IfcLengthMeasure(32.),,IfcBoolean(.F.),IfcText('TBC'),IfcText('Hold Open'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 5a*'),IfcBoolean(.F.),IfcLabel('IDT 5a - Hospital Street Doors (FOH) Frameless: 1824mm - 2360mm S/O Double Swing Laminate'),IfcLabel('IDT 5a - Hospital Street Doors (FOH) Frameless: 1824mm - 2360mm S/O Double Swing Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2360.),IfcLengthMeasure(2360.),IfcLengthMeasure(139.999999999968),IfcText('1saDB3OhLDvQmvKCANrxnf'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('CIR0108.D1'),IfcText(''),IfcText(''),IfcText('Double Door Double Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2360.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(160.),IfcLabel('IDT 5a - Hospital Street Doors (FOH) Frameless: 1824mm - 2360mm S/O Double Swing Laminate'),IfcText('DD/SS'),IfcText('234'),IfcLengthMeasure(1824.),IfcText('Part of Glazed Screen CIR0108.S1'),,,,,,,,,
IfcText('SFM0005.D1'),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Automatic Opening'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 3c'),IfcBoolean(.F.),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1saDB3OhLDvQmvKCANrxnP'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('SFM0005.D1'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('J118'),IfcLengthMeasure(1910.),,,,,,,,,,
IfcText('SFM0008.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('1saDB3OhLDvQmvKCANrxnV'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('SFM0008.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J123'),IfcLengthMeasure(1510.),,,,IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,
IfcText('SFM0007.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText('Kick/Mid/Edge'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('1saDB3OhLDvQmvKCANrxn0'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('SFM0007.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J123'),IfcLengthMeasure(1510.),,IfcText('17e'),,IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,
IfcText('CAT0020.D1'),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),,IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('1saDB3OhLDvQmvKCANrxn1'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('CAT0020.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J123'),IfcLengthMeasure(1510.),,IfcText('08'),,IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,
IfcText('CAT0C03.D2'),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 2b'),IfcBoolean(.F.),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),,IfcText('1saDB3OhLDvQmvKCANrxn2'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('CAT0C03.D2'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2b - Double Unequal Door (Glazed): 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J163'),IfcLengthMeasure(1510.),,IfcText('08*DA'),,,,,IfcLengthMeasure(900.),IfcLengthMeasure(521.),IfcText('TBC'),
