,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,DOOR_Radiation Protection,Sill Height,Blind Type,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,Access Control,Accessories & Sundry Items,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Power,DOOR_Protection,DOOR_Signage,DOOR_Type,Durability Rating,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Main Panel Width,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Secondary Panel Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Vision Panel,Width,Comments,Acoustic Designation,Manufacturer,DOOR_Acoustic Rating,Construction Type,Door Finish,Has 14 x 14 Window,Has 14 x 24 Window,Has Backup Casings,Has Power Operator,Has Wall Guide,Model,Product data url,URL
IfcText('CAT0022.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText('TBC'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcText('Delayed Close'),IfcText('Half Height/Edge'),IfcText('Yes'),IfcText('IDT 2d'),IfcText('TBC'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('2C76bdnbL27PluUXZDDvI9'),IfcText('17c'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0022.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcBoolean(.F.),IfcLengthMeasure(1510.),,,,,,,,,,,,,,
IfcText('CAT0001.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcText('TBC'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('2C76bdnbL27PluUXZDDvGw'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0001.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcBoolean(.F.),IfcLengthMeasure(1510.),,,,,,,,,,,,,,
IfcText('CAT0004.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),,IfcText('Half Height/Edge'),IfcText('Yes'),IfcText('IDT 2d'),IfcText('TBC'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('2C76bdnbL27PluUXZDDvNe'),IfcText('17g'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0004.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcBoolean(.F.),IfcLengthMeasure(1510.),IfcText('Half height protection to 1250mm'),,,,,,,,,,,,,
IfcText('CAT0003.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 2d'),IfcText('TBC'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('2C76bdnbL27PluUXZDDv8C'),IfcText('Supplied by Specialist Contractor'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcLengthMeasure(900.),IfcText('CAT0003.D1'),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(521.),IfcLengthMeasure(32.),IfcLengthMeasure(75.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J61'),IfcBoolean(.F.),IfcLengthMeasure(1510.),IfcText('Cold Room doors specified and supplied by specialist'),,,,,,,,,,,,,
IfcText('CAT0017.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1b'),,IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDvFs'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0017.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009689),IfcLabel('IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J27'),,IfcLengthMeasure(1060.),,IfcText(''),IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0018.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),,IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDvCc'),IfcText('06'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0018.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),,IfcLengthMeasure(1060.),,,IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0021.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),,IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDvCS'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0021.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),,IfcLengthMeasure(1060.),,,IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0014.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),,IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),,IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDv3q'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0014.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),,IfcLengthMeasure(1060.),,,IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0002.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),,IfcText('Half Height/Edge'),IfcText('Yes'),IfcText('IDT 1d'),,IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDv3G'),IfcText('06c'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0002.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),,IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J38'),,IfcLengthMeasure(1060.),IfcText('Half height protection to 1250mm'),,IfcText('Revit'),,,,,,,,,,,
IfcText('CAT0005.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(816.),IfcText('TBC'),,IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),,IfcLabel('IDT 1d - Single Door1: 900mm - 2110mm S/O Cold room'),IfcLabel('IDT 1d - Single Door1: 900mm - 2110mm S/O Cold room'),IfcText(''),,IfcText(''),IfcLengthMeasure(32.),,IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2C76bdnbL27PluUXZDDv24'),IfcText('Supplied by Specialist Contractor'),IfcText('L20/431'),IfcLabel('Level: Level 0'),,IfcText('CAT0005.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(900.),,IfcLengthMeasure(38.),IfcLengthMeasure(75.),IfcLabel('IDT 1d - Single Door1: 900mm - 2110mm S/O Cold room'),IfcText('SD/SS'),IfcText('289'),,IfcLengthMeasure(900.),IfcText('Cold Room doors specified and supplied by specialist'),,IfcText('Revit'),,,,,,,,,,,
