,Assembly Code,Assembly Description,Access Control,Blind Type,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,Ironmongery Set,Keynote,Level,Manufacturer,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width
IfcText('PLAB416.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),IfcText('On bund wall'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2260.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05b'),IfcText('L20/439'),IfcLabel('Level: Level B'),IfcText('Revit'),IfcText('PLAB416.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(150.),IfcLengthMeasure(38.),IfcLengthMeasure(142.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0020.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0020.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0004.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0004.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0010.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('06b'),IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0010.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0009.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0009.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0008.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0008.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0007.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('06b'),IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0007.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0005.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('06b'),IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0005.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0001.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),IfcText('FD30S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('05'),IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0001.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
IfcText('HFM0011.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('Painted Finish'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),,IfcText('L20/439'),IfcLabel('Level: Level U'),IfcText('Revit'),IfcText('HFM0011.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Painted'),IfcText('SD/SS'),IfcText('EDT 3aaaa'),IfcLengthMeasure(1060.)
