,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,EXT_DOOR_Access_Control,DOOR_Type,Type Mark,Acoustic Designation,Comments,DOOR_Material Frame,DOOR_Material Panel,EXT_DOOR_Closer,EXT_DOOR_Location,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Glass Thickness,Heat Transfer Coefficient (U),Height,Ironmongery Set,Keynote,Level,Mark,Phase Created,Phase Demolished,Solar Heat Gain Coefficient,Thermal Resistance (R),Type,Visual Light Transmittance,Width,Type Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,EXT_DOOR_Drawing_Reference,EXT_DOOR_Operation/Security,Frame Material,Frame Thickness,Head Height,Host Partition Thickness,Operation,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,DOOR_Detail type,DOOR_Louvred,Manufacturer,Model,Right Hinge,URL,Access Control,DOOR_Break Glass - Green,DOOR_Break Glass - Red,DOOR_Call Button,DOOR_Card Entry,DOOR_Colour,DOOR_DDA Closer (20Kn),DOOR_Door Closer,DOOR_Door Contacts,DOOR_DoubleSwing,DOOR_Exit Button,DOOR_Finger Protection,DOOR_Finishes,DOOR_GlazingThickness,DOOR_KickPlate,DOOR_KickPlateHeight,DOOR_Lock & Thumbturn,DOOR_PanelHeight,DOOR_Panic Bar,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Safety Barrier,DOOR_Secure by Design,DOOR_Signage,DOOR_Ventilation,DOOR_Video Entry,DOOR_Vision Panel,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,DOOR_VisionPanelOffset,DOOR_VisionPanelWidth,Spec Ref,Main Panel Width,Appear In Schedule,EXT_DOOR_Minimum_Clear_Width,Frame Depth,Frame Head Depth,Panel Glazing Material,Panel Height,Panel Width,Rail Bottom,Rail Head,Stile Left,Stile Right
IfcText('ED-10-001'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Door located in curtain walling.'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('Courtyard 04'),IfcText('EDT 8a'),"IfcText('Hinged, aluminium-framed glazed, double door in curtain walling')",IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcText('N/A'),IfcLengthMeasure(12.),IfcReal(3.6886),IfcLengthMeasure(2410.),IfcText('E5d'),IfcText('H11/136A'),IfcLabel('Level: Level 0'),IfcText('ED-10-001'),IfcLabel('New Construction'),,IfcReal(0.78),IfcReal(0.271105568508377),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcReal(0.9),IfcLengthMeasure(1850.00000000003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-501'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),,IfcText('EDT 7q'),IfcText('N/A'),IfcText('Emergency roof exit'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('No'),IfcText('Stair 1 to roof'),IfcText('EDT 3b'),"IfcText('Hinged, steel, double doorset')",IfcLabel('EDT 3b - Equal Double Door: EDT 3b_1810w x 2110h'),IfcLabel('EDT 3b - Equal Double Door: EDT 3b_1810w x 2110h'),IfcText('N/A'),,,IfcLengthMeasure(2110.),IfcText('E5b'),IfcText('L20/481'),IfcLabel('Level: Level 5'),IfcText('ED-10-501'),IfcLabel('New Construction'),,,,IfcLabel('EDT 3b - Equal Double Door: EDT 3b_1810w x 2110h'),,IfcLengthMeasure(1810.),IfcText(''),IfcText(''),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcText(''),IfcText(''),IfcText('Anthracite Grey (RAL 7016)'),IfcLengthMeasure(40.),IfcLengthMeasure(2610.00000000002),IfcLengthMeasure(139.999999999968),IfcText('Double Door Single Swing'),IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1810.),IfcLengthMeasure(500.00000000002),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-011'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Door located in curtain walling.'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('Courtyard 03'),IfcText('EDT 8a'),"IfcText('Hinged, aluminium-framed glazed, double door in curtain walling')",IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcText('N/A'),IfcLengthMeasure(12.),IfcReal(3.6886),IfcLengthMeasure(2495.),IfcText('E5d'),IfcText('H11/136A'),IfcLabel('Level: Level 0'),IfcText('ED-10-011'),IfcLabel('New Construction'),,IfcReal(0.78),IfcReal(0.271105568508377),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcReal(0.9),IfcLengthMeasure(1850.00000000003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-010'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Door located in curtain walling.'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('Courtyard 01'),IfcText('EDT 8a'),"IfcText('Hinged, aluminium-framed glazed, double door in curtain walling')",IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcText('N/A'),IfcLengthMeasure(12.),IfcReal(3.6886),IfcLengthMeasure(2495.),IfcText('E5d'),IfcText('H11/136A'),IfcLabel('Level: Level 0'),IfcText('ED-10-010'),IfcLabel('New Construction'),,IfcReal(0.78),IfcReal(0.271105568508377),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcReal(0.9),IfcLengthMeasure(1850.00000000003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-012'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('N/A'),IfcText('Door located in curtain walling.'),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcText('No'),IfcText('Courtyard 03'),IfcText('EDT 8a'),"IfcText('Hinged, aluminium-framed glazed, double door in curtain walling')",IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcText('N/A'),IfcLengthMeasure(12.),IfcReal(3.6886),IfcLengthMeasure(2495.),IfcText('E5d'),IfcText('H11/136A'),IfcLabel('Level: Level 0'),IfcText('ED-10-012'),IfcLabel('New Construction'),,IfcReal(0.78),IfcReal(0.271105568508377),IfcLabel('EDT 8a - Equal Double CW Door Hinged Manual: EDT 8a_Door Hinged Manual - Double'),IfcReal(0.9),IfcLengthMeasure(1850.00000000003),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-008'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('Yes'),IfcText('Pharmacy'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('N/A'),,,IfcLengthMeasure(2535.),IfcText('E3c'),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-10-008'),IfcLabel('New Construction'),,,,IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),,IfcLengthMeasure(1810.),IfcText('DD/SS (GL)'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcText('DT-XX-X-31101'),IfcText('Door contacts'),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),IfcText('Double Door Single Swing'),IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcText(''),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-003'),IfcText(''),IfcText(''),IfcText('23.30.10.17.37.14'),IfcText('Sectional Overhead Doors'),IfcBoolean(.F.),,IfcText(''),IfcText('N/A'),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('No'),IfcText('FM in'),IfcText('EDT 5a'),IfcText('Overhead sectional door with passdoor'),IfcLabel('EDT 5a - Sectional Overhead Door with Passdoor: EDT 5a_5750w x 3135h'),IfcLabel('EDT 5a - Sectional Overhead Door with Passdoor: EDT 5a_5750w x 3135h'),IfcText('N/A'),,,IfcLengthMeasure(3135.),IfcText('as L20/616'),IfcText('L20/616'),IfcLabel('Level: Level 0'),IfcText('ED-10-003'),IfcLabel('New Construction'),,,,IfcLabel('EDT 5a - Sectional Overhead Door with Passdoor: EDT 5a_5750w x 3135h'),,IfcLengthMeasure(5750.),,,,,,IfcText('DT-XX-X-31121'),IfcText('Door contact/ powered'),,,IfcLengthMeasure(3135.),,,,,,IfcLengthMeasure(0.),,,IfcText(''),,IfcText(''),IfcText('1042P Overhead sectional door'),IfcBoolean(.F.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-006'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('Yes'),IfcText('FM out'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('N/A'),,,IfcLengthMeasure(2535.),IfcText('E3c'),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-10-006'),IfcLabel('New Construction'),,,,IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),,IfcLengthMeasure(1810.),IfcText('DD/SS (GL)'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcText('DT-XX-X-31101'),IfcText('Door contacts'),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),IfcText('Double Door Single Swing'),IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcText(''),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-002'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('Yes'),IfcText('Pathology Access'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('N/A'),,,IfcLengthMeasure(2535.),IfcText('E3c'),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-10-002'),IfcLabel('New Construction'),,,,IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),,IfcLengthMeasure(1810.),IfcText('DD/SS (GL)'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcText('DT-XX-X-31101'),IfcText('Door contacts'),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),IfcText('Double Door Single Swing'),IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcText(''),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-10-009'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcBoolean(.T.),,IfcText(''),IfcText('N/A'),IfcText(''),IfcLabel('Anthracite Grey (RAL 7016)'),IfcLabel('Anthracite Grey (RAL 7016)'),IfcText('Yes'),IfcText('Mortuary'),IfcText('EDT 3b OP'),"IfcText('Hinged, steel, double doorset, with overpanel')",IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),IfcText('N/A'),,,IfcLengthMeasure(2535.),IfcText('E3c'),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-10-009'),IfcLabel('New Construction'),,,,IfcLabel('EDT 3b OP - Equal Double Door_with over panel: EDT 3b OP_1810w x 2535h'),,IfcLengthMeasure(1810.),IfcText('DD/SS (GL)'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2053.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(862.),IfcText('DT-XX-X-31101'),IfcText('Door contacts'),,IfcLengthMeasure(40.),IfcLengthMeasure(2535.),IfcLengthMeasure(139.999999999968),IfcText('Double Door Single Swing'),IfcLengthMeasure(1740.),IfcLengthMeasure(2535.),IfcLengthMeasure(1810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.0000000000022),IfcLengthMeasure(260.),IfcText(''),IfcBoolean(.F.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
