,Assembly Code,Assembly Description,Access Control,Acoustic Designation,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Acoustic Rating,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,IfcGUID,Ironmongery Set,Keynote,Level,Main Panel Width,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Secondary Panel Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Host Partition Thickness,Manufacturer,DOOR_Power,Vision Panel,Accessories & Sundry Items,Durability Rating,Comments
IfcText('IP74012.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj6oN'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP74012.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP84021.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText(''),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj6pu'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP84021.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP74013.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj6ms'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP74013.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP84020.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj6m8'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP84020.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP74021.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj6n6'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP74021.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP74020.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj5EJ'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP74020.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP74003.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj5Dh'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP74003.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP84005.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj5BH'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP84005.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP84003.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj58i'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP84003.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
IfcText('IP94006.D1'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('IBT 08'),IfcText('DUD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcText('TBC'),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2a'),IfcBoolean(.F.),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText(''),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcText('0ud9K13Iv5IQmm4nLhj593'),IfcText('01'),IfcText('L20/431'),IfcLabel('Level: Level 4'),IfcLengthMeasure(900.),IfcText('IP94006.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1480.),IfcLengthMeasure(491.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.0000000009637),IfcLabel('IDT 2a - Double Unequal Door (Glazed - Observation): 1480mm - 2110mm S/O Laminate'),IfcText('DUD/SS (GL)'),IfcText('J264'),IfcLengthMeasure(1480.),,,,,,,
