,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Access Control,Blind Type,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Acoustic Designation,DOOR_Power,Fire Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Acoustic Rating,Spec Ref
IfcText('CCU2052.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1CC__b4mn55BcG0sNMfN1q'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2052.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J52'),IfcLengthMeasure(1060.),,,,,,,,,,
IfcText('CCU2019.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2019.S1'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('1CC__b4mn55BcG0sNMfN2M'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2019.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2020.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2020.S2'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('1CC__b4mn55BcG0sNMfN2L'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2020.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2018.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('Part of Glazed Screen CCU2018.S1'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(867.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 6c'),IfcBoolean(.F.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),,IfcText(''),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2060.),IfcLengthMeasure(2060.),IfcLengthMeasure(139.999999999968),IfcText('19lZ90nVP1lw2RvAhJ93oY'),IfcText('G07'),IfcText('L11/579'),IfcLabel('Level: Level 2'),,IfcText('CCU2018.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2060.),IfcLengthMeasure(1824.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 6c - Equal Double Door (Internal Glazing-Observation): 1910mm - 2110mm S/O'),IfcText('DD/SS (GL)'),IfcText('J136'),IfcLengthMeasure(1824.),IfcText('30dB'),IfcText(''),,,,,,,,
IfcText('CCU2C04.D3'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1n5XhMO2j1cRHT9pZ$vN9B'),IfcText('12*'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('CCU2C04.D3'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('J88'),IfcLengthMeasure(1910.),,IfcText('Hold Open'),IfcText('FD30S'),,,,,,,
IfcText('CCU2C04.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1n5XhMO2j1cRHT9pZ$vN9k'),IfcText('12*'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('CCU2C04.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('J88'),IfcLengthMeasure(1910.),,IfcText('Hold Open'),IfcText('FD30S'),,,,,,,
IfcText('CCU2C06.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1n5XhMO2j1cRHT9pZ$vN8U'),IfcText('12*'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('CCU2C06.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('J88'),IfcLengthMeasure(1910.),,IfcText('Hold Open'),IfcText('FD30S'),,,,,,,
IfcText('CCU2C04.D4'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick/Edge'),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('1n5XhMO2j1cRHT9pZ$vNB1'),IfcText('12*'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('CCU2C04.D4'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O Laminate'),IfcText('DD/SS (GL)'),IfcText('J88'),IfcLengthMeasure(1910.),,IfcText('Hold Open'),IfcText('FD30S'),,,,,,,
IfcText('CCU2075.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2V16A$vab6fQec7Rnxz6eO'),IfcText('04b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2075.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J163'),IfcLengthMeasure(1060.),,,,,,,,,,
IfcText('CCU2054.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(726.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0KUxoQJ0f4qeZeNqxgKtlF'),IfcText('03b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('CCU2054.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(810.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 810mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('J55'),IfcLengthMeasure(810.),,,,,,,,,,
