,AbUniqueID,Access Control,Access Control.1,Acoustic Rating,Comments,Door Frame Colour,Door Leaf/Transom/Overpanel Colour,Door Power,Finger Protection,Fire Rating,Frame Finish,Gap,Gas Suppression Requirements,Height,Integral Blinds,Ironmongery Set,Leaf Finish,Leaf Protection,Level,Location,Min Clear Width,Operation,Operation/Security,Radiation Protection,SpecRef,Type,Type Description,Vision Panel,Wall Thickness (mm),Width
0,CAT0C01.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,01*,Laminate,Kick/Edge,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2b,0,Yes,97,1510
1,CAT0C03.D1,0,0,0,0,0,0,0,No,FD30S,Painted Finish,3,0,2110,0,17b*,Laminate,Kick/Edge,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2b,0,Yes,97,1510
2,CAT0C03.D2,Yes,0,0,0,0,0,Delayed Close,No,FD30S,Painted Finish,3,0,2110,0,08*DA,Laminate,Kick/Edge,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2b,0,Yes,97,1510
3,CAT0001.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,17b,Laminate,Kick,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2d,0,No,97,1510
4,CAT0002.D1,0,0,0,Half height protection to 1250mm,0,0,0,No,0,PVC Wrapped,6,0,2110,0,06c,Laminate,Half Height/Edge,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,1060
5,0,0,0,0,"Cold Room doors specified and supplied by
specialist",0,0,0,0,0,0,0,0,0,0,0,0,0,Level 0,0,0,0,0,0,0,0,0,0,0,0
6,CAT0004.D1,0,0,0,Half height protection to 1250mm,0,0,0,No,0,PVC Wrapped,6,0,2110,0,17g,Laminate,Half Height/Edge,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2d,0,No,97,1510
7,CAT0005.D1,0,0,0,"Cold Room doors specified and supplied by
specialist",0,0,0,0,0,0,0,0,0,0,0,0,0,Level 0,0,0,0,0,0,0,0,0,0,0,0
8,CAT0006.D1,0,0,0,"Cold Room doors specified and supplied by
specialist",0,0,0,0,0,0,0,0,0,0,0,0,0,Level 0,0,0,0,0,0,0,0,0,0,0,0
9,CAT0007.D1,0,0,0,"Freezer Room doors specified and supplied
by specialist",0,0,0,0,0,0,0,0,0,0,0,0,0,Level 0,0,0,0,0,0,0,0,0,0,0,0
10,CAT0008.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,05a,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,810
11,CAT0008.D2,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,03b,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,810
12,CAT0009.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,05a,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,810
13,CAT0009.D2,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,03b,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,810
14,CAT0011.D1,0,0,0,"Cold Room doors specified and supplied by
specialist",0,0,0,0,0,0,0,0,0,0,0,0,0,Level 0,0,0,0,0,0,0,0,0,0,0,0
15,CAT0013.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,03b,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,810
16,CAT0014.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,06b,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,1060
17,CAT0015.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,17b,Laminate,Kick,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2d,0,No,97,1510
18,CAT0016.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,06b,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1b,0,Yes,97,1060
19,CAT0017.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,06b,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1b,0,Yes,97,1060
20,CAT0018.D1,0,0,0,0,0,0,0,No,FD30S,Painted Finish,3,0,2110,0,6,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,1060
