,Ironmongery Set,Mapped Ironmongery Set,Comparison
0,16,16,True
1,17b,17b,True
2,06b,06b,True
3,06b,06b,True
4,06b,06b,True
5,17c,17c,True
6,03b,03b,True
7,Supplied by Specialist Contractor,0,False
8,06b,06b,True
9,06b,06b,True
10,06b,06b,True
11,06b,06b,True
12,06b,06b,True
13,08n,08n,True
14,03b,03b,True
15,03b,03b,True
16,05a,05a,True
17,05a,05a,True
18,17c,17c,True
19,17c,17c,True
20,06b,06b,True
21,03b,03b,True
22,03b,03b,True
23,06b,06b,True
24,06b,06b,True
25,03b,03b,True
26,21bDA,21bDA,True
27,17b,17b,True
28,33h,33h,True
29,06b,06b,True
30,04b,04b,True
31,22b,22b,True
32,,,False
33,06b,06b,True
34,16,16,True
35,17g,17g,True
36,08k,08k,True
37,08b,08b,True
38,06b,06b,True
39,06b,06b,True
40,06b,06b,True
41,06b,06b,True
42,06b,06b,True
43,17b,17b,True
44,06b,06b,True
45,06b,06b,True
46,06b,06b,True
47,06b,06b,True
48,06b,06b,True
49,06b,06b,True
50,47,47,True
51,TBC,0,False
52,11q,11q,True
53,06b,06b,True
54,17b,17b,True
55,06b,06b,True
56,04b,04b,True
57,06b,06b,True
58,06b,06b,True
59,06b,06b,True
60,06b,06b,True
61,06b,06b,True
62,06b,06b,True
63,Supplied by Specialist Contractor,0,False
64,11fDA,11fDA,True
65,04b,04b,True
66,06b,06b,True
67,06b,06b,True
68,06b,06b,True
69,04b*,04b*,True
70,06b,06b,True
71,17c,17c,True
72,08p,08p,True
73,08m,08m,True
74,17b,17b,True
75,6,6,True
76,6,6,True
77,6,6,True
78,6,6,True
79,6,6,True
80,Supplied by Specialist Contractor,0,False
81,03b,03b,True
82,03b,03b,True
83,06b,06b,True
84,6,6,True
85,17b,17b,True
86,06b,06b,True
87,06b,06b,True
88,1,1,True
89,17b,17b,True
90,1,1,True
91,1,1,True
92,1,1,True
93,1,1,True
94,1,1,True
95,1,1,True
96,1,1,True
97,1,1,True
98,1,1,True
99,1,1,True
100,1,1,True
101,1,1,True
102,1,1,True
103,1,1,True
104,1,1,True
105,1,1,True
106,1,1,True
107,1,1,True
108,17b,17b,True
109,4,4,True
110,1,1,True
111,12*,12*,True
112,06b,06b,True
113,06b,06b,True
114,06b,06b,True
115,06b,06b,True
116,06b,06b,True
117,03b,03b,True
118,1,1,True
119,1,1,True
120,06b,06b,True
121,12e*,12e*,True
122,04b,04b,True
123,06b,06b,True
124,06b,06b,True
125,12*,12*,True
126,12*,12*,True
127,1,1,True
128,17b,17b,True
129,1,1,True
130,1,1,True
131,1,1,True
132,1,1,True
133,1,1,True
134,1,1,True
135,1,1,True
136,1,1,True
137,1,1,True
138,1,1,True
139,1,1,True
140,1,1,True
141,1,1,True
142,1,1,True
143,1,1,True
144,1,1,True
145,1,1,True
146,1,1,True
147,1,1,True
148,1,1,True
149,1,1,True
150,4,4,True
151,1,1,True
152,12*,12*,True
153,06b,06b,True
154,06b,06b,True
155,06b,06b,True
156,06b,06b,True
157,06b,06b,True
158,03b,03b,True
159,1,1,True
160,1,1,True
161,06b,06b,True
162,12e*,12e*,True
163,04b,04b,True
164,06b,06b,True
165,06b,06b,True
166,12*,12*,True
167,12*,12*,True
168,1,1,True
169,17b,17b,True
170,1,1,True
171,1,1,True
172,1,1,True
173,1,1,True
174,1,1,True
175,1,1,True
176,1,1,True
177,1,1,True
178,1,1,True
179,1,1,True
180,1,1,True
181,1,1,True
182,1,1,True
183,4,4,True
184,1,1,True
185,12*,12*,True
186,12*,12*,True
187,06b,06b,True
188,06b,06b,True
189,06b,06b,True
190,06b,06b,True
191,06b,06b,True
192,03b,03b,True
193,1,1,True
194,1,1,True
195,06b,06b,True
196,12e*,12e*,True
197,04b,04b,True
198,06b,06b,True
199,06b,06b,True
200,12*,12*,True
201,12*,12*,True
202,1,1,True
203,17b,17b,True
204,12e*,12e*,True
205,12*,12*,True
206,12e*,12e*,True
207,12*,12*,True
208,12e*,12e*,True
209,12e*,12e*,True
210,03b,03b,True
211,2,2,True
212,1,1,True
213,03b,03b,True
214,2,2,True
215,03b,03b,True
216,2,2,True
217,1,1,True
218,1,1,True
219,1,1,True
220,1,1,True
221,1,1,True
