,AccessControl,Direction,DoorType,FingerProtection,Fire,KickPlate,Leaf,Lock,Mid-rail,Mid‐rail,PowerCloserDelay,PullOrLever,Set ref,SetDetails,SlaveLeafBolted,Swing,TypicalUses,Xray
0,-,0,Steel,-,-,-,1,Cylinder/thumbturn,-,0,Restrictor,Lever,E1a,"1.5pr. hinges; sashlock, master-keyed security cylinder and turn, 1pr. Euro escutcheons, 1pr. lever handles on roses; 90° hold-open restrictor; 50mm dia. Door ID disc",0,Single,"External stores, Energy Centre",0
1,-,0,Steel,-,-,-,1,Cylinder/thumbturn,-,0,Closer,Lever,E1b,"1.5pr. hinges; sashlock, master-keyed security cylinder and turn, 1pr. Euro escutcheons, 1pr. lever handles on roses; adjustable power overhead closer with backcheck; 50mm dia. Door ID disc",0,Single,Office,0
2,-,0,Steel,-,-,-,1.5 / 2,Cylinder/thumbturn,-,0,2 Restrictors,Lever,E1c,"3pr. hinges; sashlock, master-keyed security cylinder and turn, 1pr. Euro escutcheons, 1pr. lever handles on roses; 2no. flush bolts; 2no. 90° hold-open restrictors; 50mm dia. Door ID disc",Flush,Single,"Lift motor room, external stores, Energy Centre (assumed for level B - no security layout)",0
3,-,0,Louvred,-,-,-,1,Cylinder/thumbturn,-,0,Restrictor,Lever,E1d,"1pr. FAC adjustable hinges; lock, master-keyed security cylinder and turn, 1pr. lever handles on roses; 90° hold-open restrictor; 50mm dia. Door ID disc",0,Single,Bin Store,0
4,-,0,Louvred,-,-,-,2,Cylinder/thumbturn,-,0,2 Restrictors,Lever,E1e,"2pr. FAC adjustable hinges; lock, master-keyed security cylinder and turn, 1pr. lever handles on roses; 2no. Anti-lift drop bolts; 2no. 90° hold-open restrictors; 50mm dia. Door ID disc",Surface,Single,"Pathology Gas Compound, Bin Store",0
5,-,0,Steel,-,-,-,2,2no. Cylinder/ thumbturn,-,0,2 Restrictors,Lever,E1f,"5pr. hinges; 1no. sashlock, 1no. master-keyed security cylinder and turn, 1pr. Euro escutcheons, 1pr. lever handles on roses; 1no. deadlock, 1no. master-keyed security cylinder and turn, 1pr. Euro escutcheons; 450mm surface bow handle bolt (bottom); 900mm surface bow handle bolt (top); 2no. 90° hold-open restrictors (extra heavy duty); 50mm dia. Door ID disc",Surface,Single,"Builders Workshop, LV rooms (over-height leaves)",0
6,-,0,Steel,-,-,-,1,Bathroom lock + Lock,-,0,Closer,Lever,E2,"1.5pr hinges; bathroom lock, bathroom indicator on rose, extended bathroom turn on rose, 1pr lever handles on roses; deadlock, master-keyed security single cylinder (external only), Euro escutcheon; adjustable power overhead closer with backcheck; 50mm dia. Door ID disc",0,Single,FM wc,0
7,Maglock,Out,Steel,-,-,-,1,-,-,0,Closer,Pull,E3a,"1.5pr. Hinges; adjustable power overhead closer with backcheck; 450mm bolt through pull handle, 500 x 75mm push plate; monitored electro magnetic lock; 50mm dia. Door ID disc",0,Single,"Staff change entrance, Energy Centre entrance",0
8,Maglock,Out,Steel,-,-,-,1,-,-,0,Delay,Pull,E3b,"1.5pr. Hinges; adjustable power overhead closer with delay action and backcheck; 450mm bolt through pull handle, 500 x 75mm push plate; monitored electro magnetic lock; 50mm dia. Door ID disc",0,Single,Decontamination,0
9,Double Maglock,Out,Steel,-,-,-,2,-,-,0,2 Delay,Pull,E3c,"3pr. Hinges; 2no. adjustable power overhead closers with delay action and backcheck; 2no. 450mm bolt through pull handles, 2no. 500 x 75mm push plates; double monitored electro magnetic lock; 50mm dia. Door ID disc",-,Single,"Pathology access, FM out",0
10,-,0,Steel,-,-,-,1,-,-,0,Restrictor,-,E4a,1.5pr. Hinges; single touch bar panic exit device; 90° hold-open restrictor; 50mm dia. Door ID disc,0,Single,"Pathology, Staff change",0
