,Ironmongery Set,Mapped Ironmongery Set,Comparison Excel,Comparison Python,
0,16,16,TRUE,FALSE,2055
317,,17a,FALSE,FALSE,434
316,,08f,FALSE,FALSE,
315,,08f,FALSE,FALSE,
313,,12,FALSE,FALSE,
312,,17a,FALSE,FALSE,
311,,11d,FALSE,FALSE,
308,,08l,FALSE,FALSE,
306,,09a,FALSE,FALSE,
305,,09a,FALSE,FALSE,
300,,11u*FP,FALSE,FALSE,
294,,11m,FALSE,FALSE,
292,31,31,TRUE,FALSE,
290,,31,FALSE,FALSE,
289,,09a,FALSE,FALSE,
288,,09a,FALSE,FALSE,
286,,09a,FALSE,FALSE,
285,,09a,FALSE,FALSE,
281,9,9,TRUE,FALSE,
280,,9,FALSE,FALSE,
278,,09a,FALSE,FALSE,
276,,09a,FALSE,FALSE,
320,,08l,FALSE,FALSE,
269,,09a,FALSE,FALSE,
322,,09a,FALSE,FALSE,
333,,08l,FALSE,FALSE,
375,,6,FALSE,FALSE,
374,11,11,TRUE,FALSE,
373,6,6,TRUE,FALSE,
369,,17a,FALSE,FALSE,
368,,17a,FALSE,FALSE,
367,,17a,FALSE,FALSE,
366,,09a,FALSE,FALSE,
363,,09a,FALSE,FALSE,
361,,09a,FALSE,FALSE,
359,,09a,FALSE,FALSE,
358,,09a,FALSE,FALSE,
355,,08l,FALSE,FALSE,
353,,08l,FALSE,FALSE,
352,,09a,FALSE,FALSE,
346,,09a,FALSE,FALSE,
345,,11DA,FALSE,FALSE,
344,,11DA,FALSE,FALSE,
342,,11DA,FALSE,FALSE,
339,,17a,FALSE,FALSE,
338,,17a,FALSE,FALSE,
337,,17a,FALSE,FALSE,
327,,08l,FALSE,FALSE,
376,6,6,TRUE,FALSE,
268,,09a,FALSE,FALSE,
264,,09a,FALSE,FALSE,
221,,09a,FALSE,FALSE,
219,,12e,FALSE,FALSE,
218,,09a,FALSE,FALSE,
217,,7,FALSE,FALSE,
216,,22,FALSE,FALSE,
215,,7,FALSE,FALSE,
211,31,31,TRUE,FALSE,
210,,31,FALSE,FALSE,
208,,21a,FALSE,FALSE,
205,,08h,FALSE,FALSE,
204,,12c,FALSE,FALSE,
201,,11p,FALSE,FALSE,
200,,11p,FALSE,FALSE,
198,,11gDA,FALSE,FALSE,
197,,11t,FALSE,FALSE,
196,,17,FALSE,FALSE,
193,,9,FALSE,FALSE,
192,,09a,FALSE,FALSE,
191,,09a,FALSE,FALSE,
190,,17b,FALSE,FALSE,
189,6,6,TRUE,FALSE,
222,,09a,FALSE,FALSE,
266,,09a,FALSE,FALSE,
223,,09a,FALSE,FALSE,
230,,7,FALSE,FALSE,
263,,9,FALSE,FALSE,
262,,9,FALSE,FALSE,
260,,09a,FALSE,FALSE,
258,,09a,FALSE,FALSE,
257,,9,FALSE,FALSE,
252,9,9,TRUE,FALSE,
251,,9,FALSE,FALSE,
250,,09a,FALSE,FALSE,
249,,9,FALSE,FALSE,
248,9,9,TRUE,FALSE,
247,9,9,TRUE,FALSE,
245,,9,FALSE,FALSE,
244,,17a,FALSE,FALSE,
242,,17k,FALSE,FALSE,
240,,12e,FALSE,FALSE,
236,,11hDA,FALSE,FALSE,
235,17,17,TRUE,FALSE,
234,,12,FALSE,FALSE,
233,7,7,TRUE,FALSE,
232,,12,FALSE,FALSE,
231,7,7,TRUE,FALSE,
229,7,7,TRUE,FALSE,
188,,09a,FALSE,FALSE,
380,,33a,FALSE,FALSE,
382,,09a,FALSE,FALSE,
492,9,9,TRUE,FALSE,
490,,7,FALSE,FALSE,
489,,12e,FALSE,FALSE,
487,,08l,FALSE,FALSE,
485,42,42,TRUE,FALSE,
484,,09a,FALSE,FALSE,
482,,09a,FALSE,FALSE,
481,,09a,FALSE,FALSE,
479,,09a,FALSE,FALSE,
478,,09a,FALSE,FALSE,
476,,09a,FALSE,FALSE,
472,,7,FALSE,FALSE,
471,7,7,TRUE,FALSE,
470,7,7,TRUE,FALSE,
469,,7,FALSE,FALSE,
468,,31,FALSE,FALSE,
467,31,31,TRUE,FALSE,
465,46,46,TRUE,FALSE,
462,,09a,FALSE,FALSE,
460,,09a,FALSE,FALSE,
457,,17a,FALSE,FALSE,
493,,6,FALSE,FALSE,
456,,17a,FALSE,FALSE,
495,9,9,TRUE,FALSE,
497,9,9,TRUE,FALSE,
2,,5,FALSE,FALSE,
1,,06b,FALSE,FALSE,
21,Supplied by Specialist Contractor,,FALSE,FALSE,
17,42,42,TRUE,FALSE,
16,,,TRUE,FALSE,
10,Supplied by Specialist Contractor,,FALSE,FALSE,
9,Supplied by Specialist Contractor,,FALSE,FALSE,
5,6,6,TRUE,FALSE,
3,Supplied by Specialist Contractor,,FALSE,FALSE,
526,TBC,,FALSE,FALSE,
525,,08l,FALSE,FALSE,
522,,09a,FALSE,FALSE,
520,,09a,FALSE,FALSE,
514,,09b,FALSE,FALSE,
506,,09a,FALSE,FALSE,
505,,09a,FALSE,FALSE,
504,,42a,FALSE,FALSE,
503,9,9,TRUE,FALSE,
500,,9,FALSE,FALSE,
499,,9,FALSE,FALSE,
498,9,9,TRUE,FALSE,
496,,11k,FALSE,FALSE,
381,,08l,FALSE,FALSE,
452,,11,FALSE,FALSE,
450,46,46,TRUE,FALSE,
417,07b,7,FALSE,FALSE,
415,,07b,FALSE,FALSE,
414,,5,FALSE,FALSE,
413,,5,FALSE,FALSE,
412,,09a,FALSE,FALSE,
411,17,17,TRUE,FALSE,
408,,09a,FALSE,FALSE,
407,,08l,FALSE,FALSE,
404,,09a,FALSE,FALSE,
403,,08l,FALSE,FALSE,
400,,09a,FALSE,FALSE,
399,,09a,FALSE,FALSE,
397,,08l,FALSE,FALSE,
395,,09a,FALSE,FALSE,
394,,11,FALSE,FALSE,
393,,09a,FALSE,FALSE,
392,,05a,FALSE,FALSE,
391,,05a,FALSE,FALSE,
388,,12e,FALSE,FALSE,
387,,,TRUE,FALSE,
385,,09a,FALSE,FALSE,
