id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
3641,PHA0005.D1,IfcDoor,2YqP8$nFTC3RqhHpEqjmzU,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:890979,,1060mm - 2110mm S/O Laminate,"#151634=IfcLocalPlacement(#151613,#151633)","#3635=IfcProductDefinitionShape($,$,(#3629,#3633))",890979,2109.99999999998,1060.00000000011
28355,PHA0003.D1,IfcDoor,2YqP8$nFTC3RqhHpEqjmzP,IDT 1b - Single Door (Glazed):1060mm-2110mm S/O Laminate:890980,,1060mm-2110mm S/O Laminate,"#151669=IfcLocalPlacement(#151650,#151668)","#28349=IfcProductDefinitionShape($,$,(#28343,#28347))",890980,2109.99999999998,1060.00000000011
28536,PHA0004.D1,IfcDoor,2YqP8$nFTC3RqhHpEqjmzO,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:890981,,1060mm - 2110mm S/O Laminate,"#151706=IfcLocalPlacement(#151685,#151705)","#28530=IfcProductDefinitionShape($,$,(#28525,#28528))",890981,2109.99999999998,1060.00000000011
31755,PHA0006.D1,IfcDoor,1Pf9bIaYHEiQvnlygb$T2B,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:918526,,1060mm - 2110mm S/O Laminate,"#151743=IfcLocalPlacement(#151722,#151742)","#31749=IfcProductDefinitionShape($,$,(#31743,#31747))",918526,2109.99999999998,1060.00000000011
34802,PHA0C01.D1,IfcDoor,1zrdep5Jv3XhBzyfeJuiDp,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:921605,,1060mm - 2110mm S/O Laminate,"#151854=IfcLocalPlacement(#151831,#151853)","#34796=IfcProductDefinitionShape($,$,(#34790,#34794))",921605,2109.99999999998,1060.00000000011
34908,PHA0002.D1,IfcDoor,3QBbJtJ2LDgR9Vb$9D087k,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:922102,,1060mm - 2110mm S/O Laminate,"#151780=IfcLocalPlacement(#151759,#151779)","#34902=IfcProductDefinitionShape($,$,(#34897,#34900))",922102,2109.99999999998,1060.0
38399,PHA0021.D1,IfcDoor,1B22w55Sb1kuoVodFbML_p,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:958981,FD30S,1510mm - 2110mm S/O Laminate,"#151891=IfcLocalPlacement(#151870,#151890)","#38393=IfcProductDefinitionShape($,$,(#38387,#38391))",958981,2110.00000000001,1510.0
41687,PHA0022.D1,IfcDoor,06Qxd3TVn2Ih_ZUf0k1qKz,IDT 2d - Double Unequal Door:1710mm - 2110mm S/O Security Door:959971,,1710mm - 2110mm S/O Security Door,"#152002=IfcLocalPlacement(#151979,#152001)","#41681=IfcProductDefinitionShape($,$,(#41675,#41679))",959971,2110.0,1709.99999999999
44801,PHA0018.D1,IfcDoor,0d2uDWG6v8wuOITNgMTbxZ,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Security Door:960249,,1510mm - 2110mm S/O Security Door,"#152039=IfcLocalPlacement(#152018,#152038)","#44795=IfcProductDefinitionShape($,$,(#44789,#44793))",960249,2110.00000000001,1510.0
48249,PHA0010.D1,IfcDoor,2RWfgPhMvFJ8Sv6ma2X7FR,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:963723,,1510mm - 2110mm S/O Laminate,"#152189=IfcLocalPlacement(#152166,#152188)","#48243=IfcProductDefinitionShape($,$,(#48237,#48241))",963723,2110.00000000001,1510.0
51208,PHA0013.D1,IfcDoor,2RWfgPhMvFJ8Sv6ma2X77x,IDT 1d - Single Door:1060mm - 2110mm S/O Laminate:964267,FD30S,1060mm - 2110mm S/O Laminate,"#152226=IfcLocalPlacement(#152205,#152225)","#51202=IfcProductDefinitionShape($,$,(#51196,#51200))",964267,2109.99999999998,1060.0
