,id,type,GlobalId,OwnerHistory,Name,Description,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth,Fire Designation,Mark
15042,15042,IfcDoor,2nLyfsEYjBhB0o7s7no4Se,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1089084,,1060mm - 2110mm S/O Painted,"#174289=IfcLocalPlacement(#174268,#174288)","#15036=IfcProductDefinitionShape($,$,(#15029,#15034))",1089084,2109.99999999998,1060.0,FD60S,PLAB416.D1
28681,28681,IfcDoor,0wEgXX2p13xBPuZY5hp8nL,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1242363,,1060mm - 2110mm S/O Painted,"#174328=IfcLocalPlacement(#174305,#174327)","#28675=IfcProductDefinitionShape($,$,(#28668,#28673))",1242363,2109.99999999998,1060.0,,HFM0020.D1
41942,41942,IfcDoor,1_BOdN4vf7eOnl9Luj82bC,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281519,,1060mm - 2110mm S/O Painted,"#174365=IfcLocalPlacement(#174344,#174364)","#41936=IfcProductDefinitionShape($,$,(#41929,#41934))",1281519,2109.99999999998,1060.0,FD30S,HFM0004.D1
54726,54726,IfcDoor,1_BOdN4vf7eOnl9Luj82bJ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281520,,1060mm - 2110mm S/O Painted,"#174404=IfcLocalPlacement(#174381,#174403)","#54720=IfcProductDefinitionShape($,$,(#54713,#54718))",1281520,2109.99999999998,1060.00000000011,,HFM0010.D1
54859,54859,IfcDoor,1_BOdN4vf7eOnl9Luj82bI,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281521,,1060mm - 2110mm S/O Painted,"#174441=IfcLocalPlacement(#174420,#174440)","#54853=IfcProductDefinitionShape($,$,(#54846,#54851))",1281521,2109.99999999998,1060.00000000011,,HFM0009.D1
67639,67639,IfcDoor,1_BOdN4vf7eOnl9Luj82bH,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281522,,1060mm - 2110mm S/O Painted,"#174480=IfcLocalPlacement(#174457,#174479)","#67633=IfcProductDefinitionShape($,$,(#67626,#67631))",1281522,2109.99999999998,1060.00000000011,FD30S,HFM0008.D1
67772,67772,IfcDoor,1_BOdN4vf7eOnl9Luj82bG,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281523,,1060mm - 2110mm S/O Painted,"#174519=IfcLocalPlacement(#174496,#174518)","#67766=IfcProductDefinitionShape($,$,(#67759,#67764))",1281523,2109.99999999998,1060.00000000011,,HFM0007.D1
67904,67904,IfcDoor,1_BOdN4vf7eOnl9Luj82bN,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281524,,1060mm - 2110mm S/O Painted,"#174556=IfcLocalPlacement(#174535,#174555)","#67898=IfcProductDefinitionShape($,$,(#67891,#67896))",1281524,2109.99999999998,1060.00000000011,,HFM0005.D1
80686,80686,IfcDoor,1_BOdN4vf7eOnl9Luj82bM,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281525,,1060mm - 2110mm S/O Painted,"#174591=IfcLocalPlacement(#174572,#174590)","#80680=IfcProductDefinitionShape($,$,(#80673,#80678))",1281525,2109.99999999998,1060.00000000011,FD30S,HFM0001.D1
80822,80822,IfcDoor,1_BOdN4vf7eOnl9Luj82gQ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:1281593,,1060mm - 2110mm S/O Painted,"#174628=IfcLocalPlacement(#174607,#174627)","#80816=IfcProductDefinitionShape($,$,(#80809,#80814))",1281593,2109.99999999998,1060.00000000011,,HFM0011.D1
93818,93818,IfcDoor,3NolXqXiD8vu0Av_i3fUhZ,"#41=IfcOwnerHistory(#38,#5,$,.NOCHANGE.,$,$,$,1624459976)",IDT 1d - Single Door:1060mm - 2110mm S/O Painted:2599474,,1060mm - 2110mm S/O Painted,"#174665=IfcLocalPlacement(#174644,#174664)","#93812=IfcProductDefinitionShape($,$,(#93805,#93810))",2599474,2109.99999999998,1060.0,,HFM0018.D1
