,Assembly Code,Assembly Description,DOOR_Radiation Protection,Sill Height,Blind Type,DOOR_Finger Protection,DOOR_Privacy VP,DOOR_Ventilation,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finishes,DOOR_Protection,DOOR_Signage,DOOR_Type,Family,Family and Type,Finish,Fire Designation,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Comments,Ironmongery Set,DOOR_Acoustic Rating,DOOR_Power,Main Panel Width,Secondary Panel Width,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,NominalLength,NominalWidth,NominalHeight,Vision Panel,DOOR_Wall Thickness,FrameDepth,FrameWidth,Heat Transfer Coefficient (U),O/A Frame Width,Solar Heat Gain Coefficient,Thermal Resistance (R),Visual Light Transmittance,Accessories & Sundry Items,Durability Rating
IfcText('ENT0021.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('FD60S'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1as4tWxB5Fou$IsTcHGD3l'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0021.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT0004.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1as4tWxB5Fou$IsTcHGD3I'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0004.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('270'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1006.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3j412kyW59_PWeJjndYXYn'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1006.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT0017.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1BeQUskFr58fYZgf5TrRYr'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0017.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT0016.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1BeQUskFr58fYZgf5TrRZo'),IfcText('L20/431'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0016.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),IfcText(''),IfcText('05a'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT0013.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('30dB'),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Security Door'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Security Door'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('3UWzNlRN95VeIWu1bMgW1V'),IfcText('L20/434'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('ENT0013.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(143.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Security Door'),IfcText('SD/SS'),IfcText('269'),IfcLengthMeasure(1060.),IfcText('Enhanced Security'),IfcText('33d'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1004.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText('IBT 08'),IfcBoolean(.F.),IfcBoolean(.T.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('30dB'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1a'),IfcLabel('IDT 1a - Single Door (Glazed - Observation): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1a - Single Door (Glazed - Observation): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1QDFa_9B9CKRkhrYtudu3L'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1004.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.0000000009691),IfcLabel('IDT 1a - Single Door (Glazed - Observation): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('284'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1002.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1d'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1QDFa_9B9CKRkhrYtudu3K'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1002.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS'),IfcText('153'),IfcLengthMeasure(1060.),IfcText(''),IfcText('03b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1001.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),,IfcText('30dB'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 1c'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1QDFa_9B9CKRkhrYtudu0g'),IfcText('L20/431'),IfcLabel('Level: Level 1'),IfcText('Revit'),IfcText('ENT1001.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('270'),IfcLengthMeasure(1060.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ENT1003.D1'),IfcText(''),IfcText(''),IfcText(''),IfcLengthMeasure(0.),IfcText(''),IfcBoolean(.F.),IfcBoolean(.F.),IfcBoolean(.F.),IfcText(''),IfcText(''),,,IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(760.5),IfcText('TBC'),IfcText('Kick'),IfcText('Yes'),IfcText('IDT 4a'),IfcLabel('IDT 4a - Riser Double Door: 1610mm - 2110mm S/O Laminate'),IfcLabel('IDT 4a - Riser Double Door: 1610mm - 2110mm S/O Laminate'),IfcText('Laminate'),,IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('395V6KUXP5ZAD_yjT0uHqE'),IfcText('L20/431'),IfcLabel('Level: Level 1'),,IfcText('ENT1003.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1700.),IfcLengthMeasure(2110.),IfcLengthMeasure(1610.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 4a - Riser Double Door: 1610mm - 2110mm S/O Laminate'),IfcText('DD/SS'),IfcText('200'),IfcLengthMeasure(1610.),,IfcText('09a'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
