,Assembly Code,Assembly Description,Manufacturer,Type Comments,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Detail type,DOOR_Material Frame,DOOR_Material Panel,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Fire Designation,Frame Thickness,Head Height,Height,Host Partition Thickness,Keynote,Level,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Mark,Width,Ironmongery Set,Model,Appear In Schedule,Frame Depth,Frame Head Depth,Frame Material,Glass Thickness,Panel Glazing Material,Panel Height,Panel Width,Rail Bottom,Rail Head,Stile Left,Stile Right,URL,Door Thickness,NBSDescription,NBSNote,NBSReference,NBSTypeID,AssetIdentifier,Colour,Constituents,Features,Finish,Grade,InstallationDate,Material,ProductionYear,ReplacementCost,ServiceLifeDuration,Shape,Size,TagNumber,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,NominalLength,NominalWidth,NominalHeight,DOOR_DoubleSwing,DOOR_KickPlate,DOOR_Vision Panel,DOOR_GlazingThickness,DOOR_KickPlateHeight,DOOR_PanelHeight,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,DOOR_VisionPanelOffset,DOOR_VisionPanelWidth,DOOR_Type,Accessories & Sundry Items,DDA Compliant,Durability Rating,Specification Reference
IfcText('ED-30-103'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 1'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 1'),IfcText('ED-30-103'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-001'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('N/A'),IfcText('External pull handle. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.T.),IfcText('Delayed action self closing'),IfcText('DT-XX-X-31102'),IfcText('SFM locker area'),IfcText('Access control reader 'in' / request to exit.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-30-001'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(364.000000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('EDT 7aaa'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-201'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 1'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 2'),IfcText('ED-30-201'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-301'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 1'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 3'),IfcText('ED-30-301'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-002'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),IfcText(''),IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('No'),IfcText('DT-XX-X-31102'),IfcText('SFM locker area'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-30-002'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(364.000000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1060w x 2110h'),IfcText('EDT 7aaa'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-104'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 2'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 1'),IfcText('ED-30-104'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-202'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 2'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 2'),IfcText('ED-30-202'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-006'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2474.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(960.),,IfcLabel('Basalt Grey (RAL 7012)'),IfcLabel('Basalt Grey (RAL 7012)'),IfcBoolean(.F.),IfcText('No'),IfcText('DT-XX-X-31105'),IfcText('ENT Office'),IfcText('Deadlock with internal / external suited cylinder.'),IfcText('EDT 1b OP'),"IfcText('Hinged, steel, single doorset, with overpanel')",IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2440h'),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2440h'),IfcText('N/A'),IfcLengthMeasure(40.),IfcLengthMeasure(2440.),IfcLengthMeasure(2440.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 0'),IfcText('ED-30-006'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2440.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(519.500000000969),IfcLabel('EDT 1b OP - External Single Door_with over panel: EDT 1b OP_1060w x 2440h'),IfcText('EDT 18d'),IfcLengthMeasure(1060.),IfcText('E1b'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-401'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 1'),IfcText('External suited cylinder / internal thumbturn.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 4'),IfcText('ED-30-401'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('ED-30-302'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('No'),IfcText('N/A'),IfcText('Monitored contact 24hr. FDKL signs. 90° restrictor.'),IfcText(''),IfcLengthMeasure(2049.99999999999),IfcLengthMeasure(38.),IfcLengthMeasure(1210.),IfcText('Similar to DT-XX-X-31101'),IfcLabel('White Aluminium (RAL 9006)'),IfcLabel('White Aluminium (RAL 9006)'),IfcBoolean(.F.),IfcText('Yes'),IfcText('TBC'),IfcText('External stair 2'),IfcText('Emergency push bar.'),IfcText('EDT 1b'),"IfcText('Hinged, steel, single doorset')",IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('FD30S'),IfcLengthMeasure(40.),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('L20/481'),IfcLabel('Level: Level 3'),IfcText('ED-30-302'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1310.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(406.500000000969),IfcLabel('EDT 1b - External Single Door: EDT 1b_1310w x 2110h'),IfcText('EDT 18h'),IfcLengthMeasure(1310.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
