,Assembly Code,Assembly Description,Access Control,Blind Type,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Manufacturer,Mark,OmniClass Number,OmniClass Title,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Power,Fire Designation,Acoustic Designation,Comments,DOOR_Acoustic Rating,Spec Ref,DOOR_Wall Thickness,FrameDepth,FrameWidth,Heat Transfer Coefficient (U),O/A Frame Width,Solar Heat Gain Coefficient,Thermal Resistance (R),Visual Light Transmittance
IfcText('ACC2C05.D2'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0l6f1AsAP0dRhYKb$oMb5A'),IfcText('06c'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACC2C05.D2'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J226'),IfcLengthMeasure(1060.),,,,,,,,,,,,,,,,,,,
IfcText('ACC2029.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DUD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(900.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 2d'),IfcBoolean(.F.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999983),IfcText('0l6f1AsAP0dRhYKb$oMb5N'),IfcText('17b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),,IfcText('ACC2029.D1'),IfcText(''),IfcText(''),IfcText('Double Unequal Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(0.),IfcLengthMeasure(2110.),IfcLengthMeasure(1510.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate'),IfcText('DUD/SS'),IfcText('J60'),IfcLengthMeasure(1510.),IfcBoolean(.F.),IfcText('TBC'),IfcText('TBC'),IfcLengthMeasure(900.),IfcLengthMeasure(521.),,,,,,,,,,,,,,
IfcText('ACC2025.D2'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('0l6f1AsAP0dRhYKb$oMb5Q'),IfcText('13c'),IfcText('L20/436'),IfcLabel('Level: Level 2'),,IfcText('ACC2025.D2'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(112.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O Lead Lined PVC'),IfcText('DD/SS'),IfcText('J229'),IfcLengthMeasure(1910.),,,,,,IfcText('Delayed Close'),,,,,,,,,,,,,
IfcText('ACC2C06.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('0l6f1AsAP0dRhYKb$oMb4H'),IfcText('21dDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),,IfcText('ACC2C06.D1'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(122.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('DD/SS (GL)'),IfcText('J225'),IfcLengthMeasure(1910.),,,,,,IfcText('Delayed Close'),IfcText('FD30S'),,,,,,,,,,,,
IfcText('ACC2C04.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText(''),IfcText('IDT 3b'),IfcBoolean(.F.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('0l6f1AsAP0dRhYKb$oMb7Y'),IfcText('21dDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),,IfcText('ACC2C04.D1'),IfcText(''),IfcText(''),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3b - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('DD/SS (GL)'),IfcText('J225'),IfcLengthMeasure(1910.),,,,,,IfcText('Delayed Close'),IfcText('FD30S'),,,,,,,,,,,,
IfcText('ACC2009.D1'),IfcText(''),IfcText(''),,IfcText('IBT 07'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText('Kick'),IfcText(''),IfcText('Yes'),IfcText('IDT 1f'),IfcBoolean(.F.),IfcLabel('IDT 1f - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcLabel('IDT 1f - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('Laminate'),IfcText('Painted Finish'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('0l6f1AsAP0dRhYKb$oMb7$'),IfcText('06b'),IfcText('L20/431'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACC2009.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1f - Single Door (Glazed): 1060mm - 2110mm S/O Laminate'),IfcText('SD/SS (GL)'),IfcText('J227'),IfcLengthMeasure(1060.),,,,,,,,IfcText('30dB'),,,,,,,,,,,
IfcText('ACC2020.D1'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1jZDEdpEH0UA7$fOMqvE9X'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACC2020.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J226'),IfcLengthMeasure(1060.),,,,,,IfcText('Delayed Close'),IfcText(''),,,,,,,,,,,,
IfcText('ACC2020.D2'),IfcText(''),IfcText(''),IfcText('TBC'),IfcText('IBT 03'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1jZDEdpEH0UA7$fOMqvE9l'),IfcText('19c+'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACC2020.D2'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('SD/SS (GL)'),IfcText('J230'),IfcLengthMeasure(1060.),,,,,,IfcText('Delayed Close'),,,IfcText('Blackout.'),,,,,,,,,,
IfcText('ACC2019.D1'),IfcText(''),IfcText(''),IfcText('Interlink'),IfcText('IBT 03'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1126.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.T.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1jZDEdpEH0UA7$fOMqvEJF'),IfcText('44'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACC2019.D1'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O Lead Lined PVC'),IfcText('SD/SS (GL)'),IfcText('J228'),IfcLengthMeasure(1210.),,,,,,IfcText('Delayed Close'),,,IfcText('Blackout.  Interlinked with ACC2025.D1'),,,,,,,,,,
IfcText('ACC2024.D2'),IfcText(''),IfcText(''),IfcText('-'),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcBoolean(.F.),IfcText(''),IfcText('Code 3'),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('1jZDEdpEH0UA7$fOMqvEI6'),IfcText('19c'),IfcText('L20/436'),IfcLabel('Level: Level 2'),IfcText('Revit'),IfcText('ACC2024.D2'),IfcText(''),IfcText(''),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(112.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O Lead Lined PVC'),IfcText('SD/SS'),IfcText('J231'),IfcLengthMeasure(1060.),,,,,,IfcText('Delayed Close'),,,,,,,,,,,,,
