,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Accessories & Sundry Items,DDA Compliant,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,Durability Rating,Family,Family and Type,Frame Thickness,Head Height,Height,Host Partition Thickness,Ironmongery Set,Keynote,Level,Manufacturer,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Specification Reference,Thickness,Type,Type Comments,Type Mark,Vision Panel,Width,Fire Rating,Bottom Profile Height,Bottom Profile Option 01,Bottom Profile Option 02,Bottom Profile Option 03,Bottom Profile Option 04,Brass Polished Finish,Brass Satin Finish,Clear Anodized,Closed,Dark Bronze Anodized,Disclaimer,Door Opening,DOOR_Finishes,DOOR_MaterialDoor,DOOR_MaterialFrame,DOOR_VisionPanelType,DOOR_Wall Thickness,Frame Material,Gap,Glass,Glass Type,Horizontal Sash,Hydraulic Encloser,Inset,Leaf Bottom Profile Height,Leaf Height,Leaf Width,Mid Leaf Position,Mid Leaf Position If Opened,Opened,Opening Distance,Product data url,Rubber,Stainless Steel Polished Finish,Stainless Steel Satin Finish,Top Profile Height,Transom Height
IfcText('25'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('TBC'),IfcBoolean(.T.),IfcText('Internal Single Door'),IfcLengthMeasure(2120.),IfcLengthMeasure(50.),IfcLengthMeasure(1436.),IfcText('TBC'),IfcLabel('Single Door: 1050-2100-SD-SS'),IfcLabel('Single Door: 1050-2100-SD-SS'),IfcLengthMeasure(32.),IfcLengthMeasure(2170.),IfcLengthMeasure(2170.),IfcLengthMeasure(50.0000000009775),IfcText('TBC'),IfcText('L20'),IfcLabel('Level: Level 0'),IfcText('Revit'),IfcText('25'),IfcText('SingleDoorSingleSwing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2170.),IfcLengthMeasure(1520.),IfcLengthMeasure(0.),IfcText('TBC'),IfcLengthMeasure(50.),IfcLabel('Single Door: 1050-2100-SD-SS'),IfcText('Internal Single'),IfcText('117'),IfcBoolean(.F.),IfcLengthMeasure(1520.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 9'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('TBC'),IfcBoolean(.T.),IfcText('External Single Gate'),IfcLengthMeasure(2308.),IfcLengthMeasure(10.),IfcLengthMeasure(1936.),IfcText('TBC'),IfcLabel('Single Door: Gate 9_Mesh_2000 x 2400 mm'),IfcLabel('Single Door: Gate 9_Mesh_2000 x 2400 mm'),IfcLengthMeasure(32.),IfcLengthMeasure(2310.),IfcLengthMeasure(2400.),IfcLengthMeasure(50.0000000009775),IfcText('TBC'),IfcText(''),IfcLabel('Level: Level 0'),IfcText(''),IfcText('Gate 9'),IfcText('SingleDoorSingleSwing'),IfcLabel('New Construction'),,IfcLengthMeasure(2020.),IfcLengthMeasure(2400.),IfcLengthMeasure(2020.),IfcLengthMeasure(-90.),IfcText('TBC'),IfcLengthMeasure(10.),IfcLabel('Single Door: Gate 9_Mesh_2000 x 2400 mm'),IfcText('Gate 2'),IfcText('Gate 4'),IfcBoolean(.F.),IfcLengthMeasure(2020.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 10'),IfcText(''),IfcText(''),IfcText('23.30.10.00'),IfcText('Doors'),,,,,,,,IfcLabel('BDP_Door_Ext_Double: Gate 8_Mesh_2000 x 2400'),IfcLabel('BDP_Door_Ext_Double: Gate 8_Mesh_2000 x 2400'),,IfcLengthMeasure(2100.),IfcLengthMeasure(2400.),,,,IfcLabel('Level: Level 0'),,IfcText('Gate 10'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2400.),IfcLengthMeasure(2024.),IfcLengthMeasure(-300.),,IfcLengthMeasure(10.),IfcLabel('BDP_Door_Ext_Double: Gate 8_Mesh_2000 x 2400'),,IfcText('Gate 5'),,IfcLengthMeasure(2024.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 13'),IfcText(''),IfcText(''),IfcText('23.30.10.00'),IfcText('Doors'),,,,,,,,IfcLabel('BDP_Door_Ext_Double: Gate 11_Mesh_2000 x 2400'),IfcLabel('BDP_Door_Ext_Double: Gate 11_Mesh_2000 x 2400'),,IfcLengthMeasure(2120.),IfcLengthMeasure(2400.),,,,IfcLabel('Level: Level 0'),,IfcText('Gate 13'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2400.),IfcLengthMeasure(2084.),IfcLengthMeasure(-280.),,IfcLengthMeasure(10.),IfcLabel('BDP_Door_Ext_Double: Gate 11_Mesh_2000 x 2400'),,IfcText('Gate 8'),,IfcLengthMeasure(2084.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 15'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('TBC'),IfcBoolean(.T.),IfcText('External Single Gate'),IfcLengthMeasure(2308.),IfcLengthMeasure(10.),IfcLengthMeasure(1996.),IfcText('TBC'),IfcLabel('Single Door: Gate 12_Mesh_2000 x 2400 mm 2'),IfcLabel('Single Door: Gate 12_Mesh_2000 x 2400 mm 2'),IfcLengthMeasure(32.),IfcLengthMeasure(2120.),IfcLengthMeasure(2400.),IfcLengthMeasure(50.0000000009775),IfcText('TBC'),IfcText(''),IfcLabel('Level: Level 0'),IfcText(''),IfcText('Gate 15'),IfcText('SingleDoorSingleSwing'),IfcLabel('New Construction'),,IfcLengthMeasure(2020.),IfcLengthMeasure(2400.),IfcLengthMeasure(2080.),IfcLengthMeasure(-280.),IfcText('TBC'),IfcLengthMeasure(10.),IfcLabel('Single Door: Gate 12_Mesh_2000 x 2400 mm 2'),IfcText('Gate 2'),IfcText('Gate 7'),IfcBoolean(.F.),IfcLengthMeasure(2080.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 13'),IfcText(''),IfcText(''),IfcText('23.30.10.00'),IfcText('Doors'),,,IfcText('Sliding'),,,,,IfcLabel('BDP_Door_Sliding_2Panel: Door_Externall_Sliding_6200W x 2400H'),IfcLabel('BDP_Door_Sliding_2Panel: Door_Externall_Sliding_6200W x 2400H'),,IfcLengthMeasure(2000.),IfcLengthMeasure(2400.),,IfcText(''),IfcText('L20/521'),IfcLabel('Level: Level 0'),,IfcText('Gate 13'),IfcText('Telescopic Sliding'),IfcLabel('New Construction'),,,IfcLengthMeasure(2400.),IfcLengthMeasure(6200.),IfcLengthMeasure(-400.),,IfcLengthMeasure(60.),IfcLabel('BDP_Door_Sliding_2Panel: Door_Externall_Sliding_6200W x 2400H'),IfcText('Curtain Wall Door'),IfcText('Gate 17'),,IfcLengthMeasure(6200.),,"IfcLabel('0'  4""')","IfcLabel('0'  4""')","IfcLabel('0'  7""')","IfcLabel('0'  10""')","IfcLabel('0'  12""')","IfcLabel('Brass, Polished')","IfcLabel('Brass, Satin')",IfcLabel('Clear Anodized'),IfcBoolean(.T.),IfcLabel('Dark Bronze Anodized'),IfcText(''),IfcLengthMeasure(3839.64583333333),IfcText(''),IfcLabel('BDP_Mesh'),IfcLabel('BDP_Carbon_Steel'),IfcText(''),IfcLengthMeasure(49.9999999999871),IfcText('Clear Anodized'),IfcLengthMeasure(0.),IfcLabel('BDP_Mesh'),IfcLabel('1/2'''),IfcBoolean(.F.),IfcBoolean(.F.),IfcLengthMeasure(5.),IfcLengthMeasure(101.6),IfcLengthMeasure(2177.75),IfcLengthMeasure(1805.),IfcLengthMeasure(3052.375),IfcLengthMeasure(3052.375),IfcBoolean(.F.),IfcLengthMeasure(3.175),IfcText('http://besam-na.bimobject.com/SL500_Tele_OHC_Transom'),"IfcLabel('Rubber, Black')","IfcLabel('Stainless Steel, Polished')","IfcLabel('Stainless Steel, Satin')",IfcLengthMeasure(101.6),IfcLengthMeasure(0.)
IfcText('Gate 16'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('TBC'),IfcBoolean(.T.),IfcText('External Single Gate'),IfcLengthMeasure(2308.),IfcLengthMeasure(10.),IfcLengthMeasure(1201.),IfcText('TBC'),IfcLabel('Single Door: Gate 14_Mesh_1200 x 2400 mm'),IfcLabel('Single Door: Gate 14_Mesh_1200 x 2400 mm'),IfcLengthMeasure(32.),IfcLengthMeasure(2345.),IfcLengthMeasure(2400.),IfcLengthMeasure(50.0000000009775),IfcText('TBC'),IfcText(''),IfcLabel('Level: Level 0'),IfcText(''),IfcText('Gate 16'),IfcText('SingleDoorSingleSwing'),IfcLabel('New Construction'),,IfcLengthMeasure(1500.),IfcLengthMeasure(2400.),IfcLengthMeasure(1285.),IfcLengthMeasure(-55.),IfcText('TBC'),IfcLengthMeasure(10.),IfcLabel('Single Door: Gate 14_Mesh_1200 x 2400 mm'),IfcText('Gate 2'),IfcText('Gate 21'),IfcBoolean(.F.),IfcLengthMeasure(1285.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 17'),IfcText(''),IfcText(''),IfcText('23.30.10.00'),IfcText('Doors'),,,,,,,,IfcLabel('BDP_Door_Ext_Double: Gate 25 _Acoustic timber_1810 x 2000'),IfcLabel('BDP_Door_Ext_Double: Gate 25 _Acoustic timber_1810 x 2000'),,IfcLengthMeasure(2000.),IfcLengthMeasure(2000.),,,,IfcLabel('Level: Level 0'),,IfcText('Gate 17'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2000.),IfcLengthMeasure(1834.),IfcLengthMeasure(0.),,IfcLengthMeasure(10.),IfcLabel('BDP_Door_Ext_Double: Gate 25 _Acoustic timber_1810 x 2000'),,IfcText('Gate 22'),,IfcLengthMeasure(1834.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 29'),IfcText(''),IfcText(''),IfcText('23.30.10.00'),IfcText('Doors'),,,,,,,,IfcLabel('BDP_Door_Ext_Double: Gate 15 _timber_3000W x 1500H'),IfcLabel('BDP_Door_Ext_Double: Gate 15 _timber_3000W x 1500H'),,IfcLengthMeasure(1134.),IfcLengthMeasure(1500.),,,,IfcLabel('Level: Level 1'),,IfcText('Gate 29'),,IfcLabel('New Construction'),,,IfcLengthMeasure(1500.),IfcLengthMeasure(3000.),IfcLengthMeasure(-366.),,IfcLengthMeasure(10.),IfcLabel('BDP_Door_Ext_Double: Gate 15 _timber_3000W x 1500H'),,IfcText('Gate 23'),,IfcLengthMeasure(3000.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IfcText('Gate 31'),IfcText(''),IfcText(''),IfcText('23.30.10.00'),IfcText('Doors'),,,,,,,,IfcLabel('BDP_Door_Ext_Double: Gate 1_Mesh_8500 x 2400 mm'),IfcLabel('BDP_Door_Ext_Double: Gate 1_Mesh_8500 x 2400 mm'),,IfcLengthMeasure(3670.),IfcLengthMeasure(2400.),,,,IfcLabel('Level: Level B'),,IfcText('Gate 31'),,IfcLabel('New Construction'),,,IfcLengthMeasure(2400.),IfcLengthMeasure(8704.),IfcLengthMeasure(1270.),,IfcLengthMeasure(20.),IfcLabel('BDP_Door_Ext_Double: Gate 1_Mesh_8500 x 2400 mm'),,IfcText('Gate 1'),,IfcLengthMeasure(8704.),IfcText(''),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
