,Assembly Code,Assembly Description,OmniClass Number,OmniClass Title,Access Control,Acoustic Designation,Blind Type,Comments,Description,Door Panel Height,Door Panel Thickness,Door Panel Width,DOOR_Finger Protection,DOOR_Finishes,DOOR_Power,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Signage,DOOR_Type,DOOR_Ventilation,Family,Family and Type,Finish,Frame Material,Frame Thickness,Gap,Head Height,Height,Host Partition Thickness,IfcGUID,Ironmongery Set,Keynote,Level,Mark,Operation,Phase Created,Phase Demolished,Required Effective Clear Width,Rough Height,Rough Width,Sill Height,Thickness,Thickness_2,Type,Type Comments,Type Mark,Width,Manufacturer,Fire Designation,Vision Panel,Accessories & Sundry Items,Durability Rating,Main Panel Width,Secondary Panel Width,DOOR_Acoustic Rating
IfcText('INT2021.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2LWpvK1pT0qvqAGDYNhy$3'),IfcText('13a'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2021.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('DD/SS'),IfcText('J127'),IfcLengthMeasure(1910.),,,,,,,,
IfcText('INT2025.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),,IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2LWpvK1pT0qvqAGDYNhy$2'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2025.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2023.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2LWpvK1pT0qvqAGDYNhy$1'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2023.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(122.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),,,,,,,
IfcText('INT2022.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('TBC'),,IfcText('IBT 05'),IfcText('Blind - Laser'),IfcText('DD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 3c'),IfcBoolean(.F.),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2LWpvK1pT0qvqAGDYNhy$F'),IfcText('13a'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2022.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3c - Equal Double Door (Glazed): 1910mm - 2110mm S/O PVC'),IfcText('DD/SS (GL)'),IfcText('J217'),IfcLengthMeasure(1910.),,,,,,,,
IfcText('INT2022.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2LWpvK1pT0qvqAGDYNhy3o'),IfcText('13a+'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2022.D1'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('DD/SS'),IfcText('J127'),IfcLengthMeasure(1910.),,,,,,,,
IfcText('INT2008.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2iVdt4ywD3E8bVYP7G6V2z'),IfcText('13a'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2008.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('DD/SS'),IfcText('J127'),IfcLengthMeasure(1910.),,IfcText(''),,,,,,
IfcText('INT2012.D2'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),IfcText('30dB'),IfcText(''),IfcText(''),IfcText('DD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(32.),IfcLengthMeasure(910.5),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 3d'),IfcBoolean(.F.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('3'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(139.999999999968),IfcText('2iVdt4ywD3E8bVYP7G6V2y'),IfcText('13a'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2012.D2'),IfcText('Double Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(1740.),IfcLengthMeasure(2110.),IfcLengthMeasure(1910.),IfcLengthMeasure(0.),IfcLengthMeasure(32.),IfcLengthMeasure(97.),IfcLabel('IDT 3d - Equal Double Door: 1910mm - 2110mm S/O PVC'),IfcText('DD/SS'),IfcText('J127'),IfcLengthMeasure(1910.),,IfcText(''),,,,,,
IfcText('INT2008.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,,IfcText('IBT 05'),IfcText('Blind - Laser'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1126.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2iVdt4ywD3E8bVYP7G6V2_'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2008.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J222'),IfcLengthMeasure(1210.),IfcText('Revit'),,,,,,,
IfcText('INT2012.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),,,IfcText('IBT 02'),IfcText('Blind - Blackout'),IfcText('SD/SS (GL)'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(1126.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.T.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1c'),IfcBoolean(.F.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2iVdt4ywD3E8bVYP7G6V2v'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2012.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1210.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1c - Single Door (Glazed): 1210mm - 2110mm S/O PVC'),IfcText('SD/SS (GL)'),IfcText('J222'),IfcLengthMeasure(1210.),IfcText('Revit'),IfcText(''),,,,,,
IfcText('INT2010.D1'),IfcText(''),IfcText(''),IfcText(''),IfcText(''),IfcText('-'),,IfcText(''),IfcText(''),IfcText('SD/SS'),IfcLengthMeasure(2060.),IfcLengthMeasure(38.),IfcLengthMeasure(976.),IfcBoolean(.F.),IfcText('TBC'),IfcText('Delayed Close'),IfcBoolean(.F.),IfcText(''),IfcText(''),IfcText('Yes'),IfcText('IDT 1d'),IfcBoolean(.F.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('PVC Wrapped'),IfcText('PVC Wrapped'),IfcLengthMeasure(32.),IfcText('6'),IfcLengthMeasure(2110.),IfcLengthMeasure(2110.),IfcLengthMeasure(149.999999999992),IfcText('2iVdt4ywD3E8bVYP7G6V2u'),IfcText('05cDA'),IfcText('L20/435'),IfcLabel('Level: Level 2'),IfcText('INT2010.D1'),IfcText('Single Door Single Swing'),IfcLabel('New Construction'),,IfcLengthMeasure(850.),IfcLengthMeasure(2110.),IfcLengthMeasure(1060.),IfcLengthMeasure(0.),IfcLengthMeasure(38.),IfcLengthMeasure(97.),IfcLabel('IDT 1d - Single Door: 1060mm - 2110mm S/O PVC'),IfcText('SD/SS'),IfcText('J81'),IfcLengthMeasure(1060.),IfcText('Revit'),IfcText(''),,,,,,
