id,Mark,type,GlobalId,Name,Fire Designation,ObjectType,ObjectPlacement,Representation,Tag,OverallHeight,OverallWidth
24177,ACC2C05.D2,IfcDoor,0l6f1AsAP0dRhYKb$oMb5A,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:889902,,1060mm - 2110mm S/O PVC,"#1379883=IfcLocalPlacement(#1379862,#1379882)","#24171=IfcProductDefinitionShape($,$,(#24164,#24169))",889902,2109.99999999999,1060.0
38093,ACC2029.D1,IfcDoor,3FEAneoIXD1gt1On9YNWT$,IDT 2d - Double Unequal Door:1510mm - 2110mm S/O Laminate:889907,,1510mm - 2110mm S/O Laminate,"#1380002=IfcLocalPlacement(#1379981,#1380001)","#38087=IfcProductDefinitionShape($,$,(#38080,#38085))",889907,2110.00000000001,1510.00000000004
50263,ACC2025.D2,IfcDoor,0l6f1AsAP0dRhYKb$oMb5Q,IDT 3d - Equal Double Door:1910mm - 2110mm S/O Lead Lined PVC:889918,,1910mm - 2110mm S/O Lead Lined PVC,"#1380039=IfcLocalPlacement(#1380018,#1380038)","#50257=IfcProductDefinitionShape($,$,(#50250,#50255))",889918,2110.0,1909.99999999998
106874,ACC2C06.D1,IfcDoor,0wu2Dg1cH9DuPnOKZkvxrF,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:889973,FD30S,1910mm - 2110mm S/O PVC,"#1380152=IfcLocalPlacement(#1380129,#1380151)","#106868=IfcProductDefinitionShape($,$,(#106861,#106866))",889973,2110.0,1909.99999999998
162142,ACC2C04.D1,IfcDoor,0l6f1AsAP0dRhYKb$oMb7Y,IDT 3b - Equal Double Door (Glazed):1910mm - 2110mm S/O PVC:889990,FD30S,1910mm - 2110mm S/O PVC,"#1380191=IfcLocalPlacement(#1380168,#1380190)","#162136=IfcProductDefinitionShape($,$,(#162129,#162134))",889990,2110.0,1909.99999999995
187035,ACC2009.D1,IfcDoor,0l6f1AsAP0dRhYKb$oMb7$,IDT 1f - Single Door (Glazed):1060mm - 2110mm S/O Laminate:890011,,1060mm - 2110mm S/O Laminate,"#1380226=IfcLocalPlacement(#1380207,#1380225)","#187029=IfcProductDefinitionShape($,$,(#187022,#187027))",890011,2109.99999999999,1060.0
201333,ACC2020.D1,IfcDoor,1jZDEdpEH0UA7$fOMqvE9X,IDT 1d - Single Door:1060mm - 2110mm S/O PVC:895911,,1060mm - 2110mm S/O PVC,"#1380512=IfcLocalPlacement(#1380493,#1380511)","#201327=IfcProductDefinitionShape($,$,(#201320,#201325))",895911,2109.99999999999,1060.0
227744,ACC2020.D2,IfcDoor,1jZDEdpEH0UA7$fOMqvE9l,IDT 1c - Single Door (Glazed):1060mm - 2110mm S/O Lead Lined PVC:895913,,1060mm - 2110mm S/O Lead Lined PVC,"#1380477=IfcLocalPlacement(#1380456,#1380476)","#227738=IfcProductDefinitionShape($,$,(#227731,#227736))",895913,2109.99999999999,1060.0
254595,ACC2019.D1,IfcDoor,1jZDEdpEH0UA7$fOMqvEJF,IDT 1c - Single Door (Glazed):1210mm - 2110mm S/O Lead Lined PVC:896265,,1210mm - 2110mm S/O Lead Lined PVC,"#1380333=IfcLocalPlacement(#1380312,#1380332)","#254589=IfcProductDefinitionShape($,$,(#254582,#254587))",896265,2109.99999999999,1210.00000000004
267425,ACC2024.D2,IfcDoor,1jZDEdpEH0UA7$fOMqvEI6,IDT 1d - Single Door:1060mm - 2110mm S/O Lead Lined PVC:896320,,1060mm - 2110mm S/O Lead Lined PVC,"#1380549=IfcLocalPlacement(#1380528,#1380548)","#267419=IfcProductDefinitionShape($,$,(#267412,#267417))",896320,2109.99999999999,1060.00000000011
