,AUniqueID,Access Control,Accessories & Sundry Items,Acoustic Designation,Acoustic Rating,Appear In Schedule,Assembly Code,Assembly Description,AssetIdentifier,Blind Type,Bottom Profile Height,Bottom Profile Option 01,Bottom Profile Option 02,Bottom Profile Option 03,Bottom Profile Option 04,Brass Polished Finish,Brass Satin Finish,Clear Anodized,Closed,Colour,Comments,Constituents,Construction Type,DDA Compliant,DOOR_Acoustic Rating,DOOR_Break Glass - Green,DOOR_Break Glass - Red,DOOR_Call Button,DOOR_Card Entry,DOOR_Colour,DOOR_DDA Closer (20Kn),DOOR_Detail type,DOOR_Door Closer,DOOR_Door Contacts,DOOR_DoubleSwing,DOOR_Exit Button,DOOR_Finger Protection,DOOR_Finishes,DOOR_Gas Suppression,DOOR_GlazingThickness,DOOR_KickPlate,DOOR_KickPlateHeight,DOOR_Lock & Thumbturn,DOOR_Louvred,DOOR_Material Frame,DOOR_Material Panel,DOOR_MaterialDoor,DOOR_MaterialFrame,DOOR_PanelHeight,DOOR_Panic Bar,DOOR_Power,DOOR_Privacy VP,DOOR_Protection,DOOR_Radiation Protection,DOOR_Safety Barrier,DOOR_Secure by Design,DOOR_Signage,DOOR_Type,DOOR_Ventilation,DOOR_Video Entry,DOOR_Vision Panel,DOOR_VisionPanelBottom_1,DOOR_VisionPanelBottom_2,DOOR_VisionPanelOffset,DOOR_VisionPanelType,DOOR_VisionPanelWidth,DOOR_Wall Thickness,Dark Bronze Anodized,Description,Disclaimer,Door Finish,Door Opening,Door Panel Height,Door Panel Thickness,Door Panel Width,Door Thickness,Door_VisionPanelHeight_1,Door_VisionPanelHeight_2,Durability Rating,EXT_DOOR_Access_Control,EXT_DOOR_Closer,EXT_DOOR_Drawing_Reference,EXT_DOOR_Location,EXT_DOOR_Minimum_Clear_Width,EXT_DOOR_Operation/Security,EXT_DOOR_Type,EXT_DOOR_Type_Description,Family,Family and Type,Features,Finish,Fire Designation,Fire Rating,Frame Depth,Frame Head Depth,Frame Material,Frame Thickness,FrameDepth,FrameWidth,Gap,Glass,Glass Thickness,Glass Type,Grade,Has 14 x 14 Window,Has 14 x 24 Window,Has Backup Casings,Has Power Operator,Has Wall Guide,Head Height,Heat Transfer Coefficient (U),Height,Horizontal Sash,Host Partition Thickness,Hydraulic Encloser,IfcGUID,Inset,InstallationDate,Ironmongery Set,Keynote,Leaf Bottom Profile Height,Leaf Height,Leaf Width,Level,Main Panel Width,Manufacturer,Mark,Material,Mid Leaf Position,Mid Leaf Position If Opened,Model,NBSDescription,NBSNote,NBSReference,NBSTypeID,NominalHeight,NominalLength,NominalWidth,O/A Frame Width,OmniClass Number,OmniClass Title,Opened,Opening Distance,Operation,Panel Glazing Material,Panel Height,Panel Width,Phase Created,Phase Demolished,Product data url,ProductionYear,Rail Bottom,Rail Head,ReplacementCost,Required Effective Clear Width,RevisedByType_ARUtils,RevisedType_ARUtils,Right Hinge,Rough Height,Rough Width,Rubber,Secondary Panel Width,ServiceLifeDuration,Shape,Sill Height,Size,Solar Heat Gain Coefficient,Spec Ref,Specification Reference,Stainless Steel Polished Finish,Stainless Steel Satin Finish,Stile Left,Stile Right,TagNumber,Thermal Resistance (R),Thickness,Thickness_2,Top Profile Height,Transom Height,Type,Type Comments,Type Mark,URL,Vision Panel,Visual Light Transmittance,WarrantyDescription,WarrantyDurationLabour,WarrantyDurationParts,WarrantyGuarantorLabour,WarrantyGuarantorParts,Width,Mapped Ironmongery Set,Mapped AbUniqueID,Mapped Access Control,Mapped Access Control.1,Mapped Acoustic Rating,Mapped Comments,Mapped Door Frame Colour,Mapped Door Leaf/Transom/Overpanel Colour,Mapped Door Power,Mapped Finger Protection,Mapped Fire Rating,Mapped Frame Finish,Mapped Gap,Mapped Gas Suppression Requirements,Mapped Height,Mapped Integral Blinds,Mapped Leaf Finish,Mapped Leaf Protection,Mapped Level,Mapped Location,Mapped Min Clear Width,Mapped Operation,Mapped Operation/Security,Mapped Radiation Protection,Mapped SpecRef,Mapped Type,Mapped Type Description,Mapped Vision Panel,Mapped Wall Thickness (mm),Mapped Width,Mapped AccessControl,Mapped Direction,Mapped DoorType,Mapped FingerProtection,Mapped Fire,Mapped KickPlate,Mapped Leaf,Mapped Lock,Mapped Mid-rail,Mapped Mid‐rail,Mapped PowerCloserDelay,Mapped PullOrLever,Mapped Set ref,Mapped SetDetails,Mapped SlaveLeafBolted,Mapped Swing,Mapped TypicalUses,Mapped Xray
0,PTH0027.D1,-,nan,,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 1d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,1JVzk5PcbAP8X13ISO0Ci5,nan,nan,16,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,PTH0027.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,97.,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,SD/SS,J35,nan,nan,nan,nan,nan,nan,nan,nan,1060.,16,PTH0027.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,1060,0,0,0,0,0,1 side,1,0,0,0,0,Lever,16,As LSL,0,Single,Quiet,0
1,PTH0030.D1,-,TBC,30dB,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 2d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,DUD/SS,nan,nan,nan,2060.,32.,900.,nan,nan,nan,TBC,nan,nan,nan,nan,nan,nan,nan,nan,IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate,IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate,nan,Laminate,,nan,nan,nan,Painted Finish,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999983,nan,1JVzk5PcbAP8X13ISO0Cl5,nan,nan,17b,L20/431,nan,nan,nan,Level: Level 0,900.,nan,PTH0030.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Double Unequal Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,0.,nan,nan,nan,2110.,1510.,nan,521.,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.,97.,nan,nan,IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate,DUD/SS,J58,nan,.F.,nan,nan,nan,nan,nan,nan,1510.,17b,PTH0030.D1,0,0,30dB,0,0,0,0,No,0,Painted Finish,3,0,2110,0,Laminate,Kick,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2d,0,No,97,1510,0,0,0,0,0,1 side,1.5,Lock,0,0,0,Lever,17b,As LSL,Flush,Single,0,0
2,MOR0014.D1,-,nan,nan,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 1d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,2pM47nzyP1XRBkBZzbsyBw,nan,nan,06b,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,MOR0014.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,97.,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,SD/SS,J35,nan,nan,nan,nan,nan,nan,nan,nan,1060.,06b,MOR0014.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,1060,0,0,0,0,0,1 side,1,Lock,0,0,0,Lever,06b,As LSL,0,Single,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,0
3,MOR0023.D1,-,nan,30dB,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 1d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,2pM47nzyP1XRBkBZzbsyjZ,nan,nan,06b,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,MOR0023.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,137.,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,SD/SS,J35,nan,nan,nan,nan,nan,nan,nan,nan,1060.,06b,MOR0023.D1,0,0,30dB,0,0,0,0,No,0,Painted Finish,3,0,2110,0,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,137,1060,0,0,0,0,0,1 side,1,Lock,0,0,0,Lever,06b,As LSL,0,Single,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,0
4,MOR0022.D2,-,nan,30dB,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 1d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,2pM47nzyP1XRBkBZzbsyfG,nan,nan,06b,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,MOR0022.D2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,97.,nan,nan,IDT 1d - Single Door: 1060mm - 2110mm S/O Laminate,SD/SS,J35,nan,nan,nan,nan,nan,nan,nan,nan,1060.,06b,MOR0022.D2,0,0,30dB,0,0,0,0,No,0,Painted Finish,3,0,2110,0,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,1060,0,0,0,0,0,1 side,1,Lock,0,0,0,Lever,06b,As LSL,0,Single,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,0
5,PTH0021.D1,,,nan,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Delayed Close,.F.,Half Height/Edge,,nan,nan,Yes,IDT 2d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,DUD/SS,nan,nan,nan,2060.,32.,900.,nan,nan,nan,TBC,nan,nan,nan,nan,nan,nan,nan,nan,IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate,IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate,nan,Laminate,FD30S,nan,nan,nan,PVC Wrapped,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999983,nan,3V0RmZpq18OhvRjVt9WpjD,nan,nan,17c,L20/431,nan,nan,nan,Level: Level 0,900.,nan,PTH0021.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Double Unequal Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,0.,nan,nan,nan,2110.,1510.,nan,521.,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,32.,97.,nan,nan,IDT 2d - Double Unequal Door: 1510mm - 2110mm S/O Laminate,DUD/SS,J58,nan,.F.,nan,nan,nan,nan,nan,nan,1510.,17c,PTH0021.D1,0,0,0,0,0,0,Delayed Close,No,FD30S,PVC Wrapped,3,0,2110,0,Laminate,Half Height/Edge,Level 0,0,0,Double Unequal Door Single Swing,0,0,L20/431,IDT 2d,0,No,97,1510,0,0,0,0,Fire,0,1.5,Lock,0,0,Delay,Pull,17c,As LSL minus kickplates,Flush,Single,Disposal Hold (half-height pvc),0
6,PTH0007.D1,-,nan,nan,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 1d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2060.,38.,726.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1d - Single Door: 810mm - 2110mm S/O Laminate,IDT 1d - Single Door: 810mm - 2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,3V0RmZpq18OhvRjVt9WpiP,nan,nan,03b,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,PTH0007.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,810.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,97.,nan,nan,IDT 1d - Single Door: 810mm - 2110mm S/O Laminate,SD/SS,J38,nan,nan,nan,nan,nan,nan,nan,nan,810.,03b,PTH0007.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1d,0,No,97,810,0,0,0,0,0,1 side,1,Bathroom,0,0,0,Lever,03b,As LSL,0,Single,WCs no closer,0
7,PTH0042.D1,-,nan,nan,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Cold Room doors specified and supplied by specialist,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,,,nan,nan,Yes,IDT 1d,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS,nan,nan,nan,2060.,38.,816.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1d - Single Door1: 900mm - 2110mm S/O Cold Room,IDT 1d - Single Door1: 900mm - 2110mm S/O Cold Room,nan,,nan,nan,nan,nan,,32.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,2AC4qxm0n0VBRcIintBY2Q,nan,nan,Supplied by Specialist Contractor,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,PTH0042.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,900.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,75.,nan,nan,IDT 1d - Single Door1: 900mm - 2110mm S/O Cold Room,SD/SS,J115,nan,nan,nan,nan,nan,nan,nan,nan,900.,0,PTH0042.D1,0,0,0,"Cold Room doors specified and supplied by
specialist",0,0,0,0,0,0,0,0,0,0,0,0,Level 0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
8,PTH0033.D1,nan,nan,,nan,nan,,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,Kick,,nan,nan,Yes,IDT 1b,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS (GL),nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate,IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate,nan,Laminate,,nan,nan,nan,Painted Finish,32.,nan,nan,6,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,2AC4qxm0n0VBRcIintBb7x,nan,nan,06b,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,PTH0033.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,97.0000000009689,nan,nan,IDT 1b - Single Door (Glazed): 1060mm-2110mm S/O Laminate,SD/SS (GL),J24,nan,nan,nan,nan,nan,nan,nan,nan,1060.,06b,PTH0033.D1,0,0,0,0,0,0,0,No,0,Painted Finish,6,0,2110,0,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1b,0,Yes,97,1060,0,0,0,0,0,1 side,1,Lock,0,0,0,Lever,06b,As LSL,0,Single,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,0
9,PTH0001.D1,-,nan,30dB,nan,nan,,,nan,IBT-02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.F.,TBC,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,.T.,Kick,,nan,nan,Yes,IDT 1c,.F.,nan,nan,nan,nan,nan,nan,nan,nan,nan,SD/SS (GL),nan,nan,nan,2060.,38.,976.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate,IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate,nan,Laminate,nan,nan,nan,nan,Painted Finish,32.,nan,nan,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,2110.,nan,2110.,nan,149.999999999992,nan,2AC4qxm0n0VBRcIintBbYI,nan,nan,06b,L20/431,nan,nan,nan,Level: Level 0,nan,Revit,PTH0001.D1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,nan,nan,Single Door Single Swing,nan,nan,nan,New Construction,nan,nan,nan,nan,nan,nan,850.,nan,nan,nan,2110.,1060.,nan,nan,nan,nan,0.,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,38.,97.,nan,nan,IDT 1c - Single Door (Glazed): 1060mm - 2110mm S/O Laminate,SD/SS (GL),J130,nan,nan,nan,nan,nan,nan,nan,nan,1060.,06b,PTH0001.D1,0,0,30dB,0,0,0,0,No,0,Painted Finish,3,0,2110,IBT-02,Laminate,Kick,Level 0,0,0,Single Door Single Swing,0,0,L20/431,IDT 1c,0,Yes,97,1060,0,0,0,0,0,1 side,1,Lock,0,0,0,Lever,06b,As LSL,0,Single,Consult/Exam; Office; Treatment; Cleaner; Linen; DU; Store; Beverage,0
